relative_time,AccX,AccY,AccZ
102171,-0.04935196787118912,1.6959130764007568,6.772286415100098
102238,-1.7823537588119507,3.5416765213012695,7.182655334472656
102305,-1.65373957157135,4.226323127746582,9.58325481414795
102371,-3.049652576446533,2.2857437133789062,15.169598579406738
102439,-1.7536399364471436,1.4931213855743408,11.768500328063965
102508,,2.446362018585205,8.246563911437988
102510,-2.244168519973755,,
102572,,,6.682555675506592
102573,-1.0980064868927002,2.222334146499634,
102642,,2.14935302734375,6.80249547958374
102643,-0.6116653084754944,,
102708,,,7.940282821655273
102709,-1.1120643615722656,2.660519599914551,
102776,,,9.04098129272461
102781,-0.8377870321273804,3.6415770053863525,
102845,,,14.120944023132324
102846,-1.613061547279358,3.661616802215576,
102912,0.19351953268051147,2.1837496757507324,14.976377487182617
102979,,,11.399407386779785
102980,0.6807580590248108,2.1954147815704346,
103046,,,10.993524551391602
103047,0.06640082597732544,1.2532408237457275,
103114,-0.1372881978750229,0.9505487680435181,7.604689598083496
103180,,,5.351847171783447
103181,-0.6807580590248108,1.3232308626174927,
103249,-1.2080763578414917,1.4174482822418213,6.7642107009887695
103316,,2.7364916801452637,6.73729133605957
103317,-2.0114665031433105,,
103383,,,10.153943061828613
103384,-1.9986051321029663,2.6805596351623535,
103449,,0.524327278137207,16.741682052612305
103450,-3.07208514213562,,
103518,,,13.837394714355469
103519,-3.0637102127075195,-0.030508488416671753,
103585,,,7.942376613616943
103586,-3.3619158267974854,1.3758729696273804,
103651,,,5.860321521759033
103652,-1.8780666589736938,1.857129454612732,
103720,,1.1757732629776,6.901199817657471
103721,-0.5685944557189941,,
103790,-1.0462616682052612,1.7045869827270508,7.872386455535889
103855,,3.0179476737976074,8.872885704040527
103856,-0.5551348328590393,,
103922,-0.8943174481391907,2.948854923248291,13.741382598876953
103988,-0.4304089844226837,2.0730817317962646,15.925431251525879
104056,,,13.085450172424316
104057,0.5440680384635925,0.7316055297851562,
104124,,0.5512465238571167,10.62114143371582
104125,-0.1989033818244934,,
104191,-0.7040880918502808,0.38315072655677795,8.453543663024902
104259,,,6.049055576324463
104260,-0.7154539823532104,0.6813562512397766,
104326,,1.3719847202301025,5.24626350402832
104327,-0.7734799385070801,,
104393,,,7.192226886749268
104394,-1.4213366508483887,1.6226328611373901,
104461,,,8.675776481628418
104462,-1.5436697006225586,2.1705892086029053,
