departamento,municipio,tiempo_establecimiento,topografia,drenaje,riego,fertilizacion,pH,materia_organica,fosforo,azufre,acidez,aluminio,calcio,magnesio,potasio,sodio,CICE,conductividad,hierro,cobre,manganeso,zinc,boro
Antioquia,Nariño,De 5 a 10 años,Pendiente,Bueno,No cuenta con riego,No ha aplicado fertilizantes,5,2.1975913344208258,8.2558304856017255,12.083333333333332,1.3482665124773752,1.0906065490807253,0.59,0.2,0.09,0.14,2.368266512477375,0.0966972,86.30699999999999,1,1.163,1,0.0884046052631579
Antioquia,Nariño,De 5 a 10 años,Pendiente,Bueno,No cuenta con riego,No ha aplicado fertilizantes,4.819999999999999,4.512377676316383,11.464589164834686,8.125,1.692714161650427,1.4102670893285243,0.59,0.2,0.09,0.14,2.712714161650427,0.1093788,168.58599999999998,2.351,1,1,0.1089638157894737
Antioquia,Nariño,De 1 a 5 años,Pendiente,Bueno,No cuenta con riego,No indica,5.03,2.794185752435144,6.575052129813029,8.333333333333332,2.1749408704927,1.7017222877897527,1.1081104700000002,0.42523947,0.092448324,0.14,3.9407391344927,0.12523079999999998,146.102,1,2.1959999999999997,1,0.0678453947368421
Antioquia,Nariño,De 1 a 5 años,Pendiente,Bueno,No cuenta con riego,No indica,4.95,3.987374588463783,9.936608841390417,16.25,1.062867031733989,0.7521424476418797,0.59,0.2,0.09,0.14,2.082867031733989,0.1231172,161.634,2.204,1.793,1,0.0884046052631579
Antioquia,Nariño,De 1 a 5 años,Pendiente,Bueno,No cuenta con riego,No indica,5.24,2.221455111141398,7.49184032387959,9.166666666666666,1.033342947519156,0.7051335446642621,0.8432969900000001,0.2,0.22124577599999998,0.14,2.437885713519156,0.1178332,148.335,1.341,2.091,1,0.1089638157894737
Santander,El carmen de chucurí,De 1 a 5 años,Pendiente,Bueno,No cuenta con riego,No ha aplicado fertilizantes,5.23,1.9828173439356704,7.033446226846309,11.25,1.2203288142130986,0.7897495700239736,7.671795830000001,0.40804162,0.09,0.14,9.5301662642131,0.163804,434.775,1.947,2.8160000000000003,3.2940000000000005,0.3145559210526316
Santander,El carmen de chucurí,De 1 a 5 años,Pendiente,Bueno,No cuenta con riego,No ha aplicado fertilizantes,4.71,4.607832783198675,8.103032453257297,9.375,4.704170751563396,3.8453282635691095,1.7013058400000003,0.2,0.09,0.14,6.8354765915633955,0.1997352,1325.94,1.9620000000000002,1.4549999999999998,1,0.25287828947368424
Valle del cauca,Ansermanuevo,De 1 a 5 años,Pendiente,No indica,No cuenta con riego,No indica,5.38,2.6686124878834496,3.87,7.6923076923076925,0.05120843384105578,0,5.257513730000001,2.72015678,0.21139887599999999,0.14,8.380277819841057,0.5902227999999999,198.121,3.843,5.924,4.657,0.13570822731128074
Valle del cauca,Ansermanuevo,De 1 a 5 años,Pendiente,No indica,No cuenta con riego,No indica,5.26,2.4936165871538347,3.87,6.490384615384616,0.08193349414568923,0,5.16375307,2.20041965,0.210892464,0.14,7.796998678145689,0.6282676,152.58100000000002,1.767,5.753,2.898,0.11450381679389313
Valle del cauca,Ansermanuevo,De 1 a 5 años,Pendiente,No indica,No cuenta con riego,No indica,5.46,3.54359199153152,12.991365082425526,12.01923076923077,0.6759513267019361,0.401201009666725,2.93347901,0.8256778300000001,0.09925675199999999,0.14,4.6743649187019365,0.1960364,150.106,4.541,11.846,1.514,0.13570822731128074
Valle del cauca,Ansermanuevo,De 1 a 5 años,Pendiente,No indica,No cuenta con riego,No indica,5.35,2.693611902273394,4.870281500048201,5.288461538461538,0.0716918073774781,0,6.423703110000001,1.40135323,0.21584404799999998,0.14,8.25259219537748,0.9099048,137.181,12.009,9.463000000000001,6.259,0.15691263782866835
Valle del cauca,Ansermanuevo,De 1 a 5 años,Pendiente,No indica,No cuenta con riego,No indica,5.39,2.5436154159337243,3.87,8.173076923076923,0.24580048243706779,0.06018015145000875,4.06102231,2.41512123,0.5276813039999999,0.14,7.389625326437068,0.2789952,224.411,7.189,16.775,2.182,0.09329940627650551
Valle del cauca,Buenaventura,De 1 a 5 años,Plano,No indica,No cuenta con riego,No indica,4.57,4.015109894808088,3.87,21.13861386138614,0.49160096487413557,0.240720605800035,0.59,0.2,0.09,0.14,1.5116009648741358,0.2678988,211.959,4.43,2.5919999999999996,1,0.050890585241730284
Valle del cauca,Buenaventura,De 1 a 5 años,Plano,No indica,No cuenta con riego,No indica,4.609999999999999,3.6358775419498577,3.87,17.673267326732677,1.5362530152316733,1.1735129532751705,1.05101967,0.42777389000000005,0.09,0.14,3.2450465752316733,0.42430519999999994,357.13700000000006,10.053,12.951999999999998,1,0.0720949957591179
Valle del cauca,Buenaventura,De 1 a 5 años,Plano,No indica,No cuenta con riego,No indica,4.67,4.4196244045235336,3.9287635574837303,20.396039603960396,0.3482173501191793,0.17051042910835812,0.59,0.2,0.09,0.14,1.3682173501191794,0.2150588,81.389,3.594,1.1500000000000001,1,0.13570822731128074
Valle del cauca,Buenaventura,De 1 a 5 años,Plano,No indica,No cuenta con riego,No indica,5.04,6.619172051101273,3.87,6.782178217821783,0.17410867505958966,0,0.59,0.2,0.130766832,0.14,1.2348755070595896,0.2684272,86.43299999999999,1,1,1,0.09329940627650551
Valle del cauca,Buenaventura,De 1 a 5 años,Plano,No indica,No cuenta con riego,No indica,4.84,6.265221855100257,3.87,15.445544554455449,1.0036853032846933,0.6619816659500962,2.45106175,1.61460657,0.135437076,0.14,5.344790699284694,0.97754,348.073,8.751,12.017,1.5979999999999999,0.17811704834605596
Valle del cauca,Buenaventura,De 1 a 5 años,Plano,No indica,No cuenta con riego,No indica,5.35,2.0178195030880737,3.87,15.1980198019802,0.8398183149933148,0.5416213630500787,0.59,0.2,0.09,0.14,1.8598183149933147,0.1051516,87.33800000000001,1,1,1,0.2417302798982188
Valle del cauca,Buenaventura,De 1 a 5 años,Plano,No indica,No cuenta con riego,No indica,4.68,7.605176168532672,3.87,14.950495049504951,0.2765255427417012,0,0.59,0.2,0.10780948799999998,0.14,1.314335030741701,0.31704,88.453,1.765,1.057,1,0.050890585241730284
Valle del cauca,Buenaventura,De 1 a 5 años,Plano,No indica,No cuenta con riego,No indica,5.09,5.430910678812149,3.87,20.14851485148515,0.17410867505958966,0,0.59,0.2,0.09031014,0.14,1.1944188150595898,0.2103032,83.99,1.395,1,1,0.09329940627650551
Valle del cauca,Buenaventura,De 1 a 5 años,Plano,No indica,No cuenta con riego,No indica,4.56,4.672445973095688,3.87,15.643564356435649,1.1675522915760717,0.8726121960251269,0.9493541300000001,0.44660101,0.374238468,0.14,3.0777458995760716,0.7772764,298.551,5.803000000000001,8.424,2.094,0.09329940627650551
Valle del cauca,Buenaventura,De 1 a 5 años,Plano,No indica,No cuenta con riego,No indica,5.02,2.3717696990890893,3.9287635574837303,10,0.24580048243706779,0,3.7812773900000005,1.06210301,0.155918628,0.14,5.385099510437068,0.7149252,88.57300000000001,6.781000000000001,14.127,1.6239999999999999,0.15691263782866835
