NoBloc,NoTraitement,test_type,NtotDose,PtotDose,KtotDose,NsemisDose,NfracDose,LatDD,LonDD,Annee,DatePlantation,DensitePlants,PrecCropFiveClasses,Cultivar,Maturity5,pH1dans1,MOsol,CaSol,MgSol,Ksol,CuSol,ZnSol,FeSol,MnSol,AlSol,Psol,Texture,ArgileMesure,SableMesure,LimonCentroid,Yield
1,7,N,220,190,270,130,90,46.753056,-72.338611,2003,2003-05-19,31226,Cereal,Eramosa,early,5.381,3.4,1321.477428,80.02735978,181.497948,1.436388509,3.488372093,186.8331053,9.233926129,1788.816689,37.05485602,Sable loameux,1.6,73.2,12.1,50.9248
1,8,N,250,190,270,130,120,46.753056,-72.338611,2003,2003-05-19,31226,Cereal,Eramosa,early,5.381,3.4,1321.477428,80.02735978,181.497948,1.436388509,3.488372093,186.8331053,9.233926129,1788.816689,37.05485602,Sable loameux,1.6,73.2,12.1,41.747
2,1,N,0,190,270,0,0,46.753056,-72.338611,2003,2003-05-19,31226,Cereal,Eramosa,early,5.144,3.4,935.0781781,80.55744392,157.1380014,0.815771584,3.161114888,192.5220938,7.13800136,2026.682529,37.69809993,Sable loameux,1.6,73.2,12.1,12.2734
2,2,N,70,190,270,70,0,46.753056,-72.338611,2003,2003-05-19,31226,Cereal,Eramosa,early,5.144,3.4,935.0781781,80.55744392,157.1380014,0.815771584,3.161114888,192.5220938,7.13800136,2026.682529,37.69809993,Sable loameux,1.6,73.2,12.1,40.3518
2,3,N,100,190,270,100,0,46.753056,-72.338611,2003,2003-05-19,31226,Cereal,Eramosa,early,5.144,3.4,935.0781781,80.55744392,157.1380014,0.815771584,3.161114888,192.5220938,7.13800136,2026.682529,37.69809993,Sable loameux,1.6,73.2,12.1,43.5455
2,4,N,130,190,270,130,0,46.753056,-72.338611,2003,2003-05-19,31226,Cereal,Eramosa,early,5.144,3.4,935.0781781,80.55744392,157.1380014,0.815771584,3.161114888,192.5220938,7.13800136,2026.682529,37.69809993,Sable loameux,1.6,73.2,12.1,53.2356
2,5,N,160,190,270,130,30,46.753056,-72.338611,2003,2003-05-19,31226,Cereal,Eramosa,early,5.144,3.4,935.0781781,80.55744392,157.1380014,0.815771584,3.161114888,192.5220938,7.13800136,2026.682529,37.69809993,Sable loameux,1.6,73.2,12.1,46.4885
2,6,N,190,190,270,130,60,46.753056,-72.338611,2003,2003-05-19,31226,Cereal,Eramosa,early,5.144,3.4,935.0781781,80.55744392,157.1380014,0.815771584,3.161114888,192.5220938,7.13800136,2026.682529,37.69809993,Sable loameux,1.6,73.2,12.1,40.9731
2,7,N,220,190,270,130,90,46.753056,-72.338611,2003,2003-05-19,31226,Cereal,Eramosa,early,5.144,3.4,935.0781781,80.55744392,157.1380014,0.815771584,3.161114888,192.5220938,7.13800136,2026.682529,37.69809993,Sable loameux,1.6,73.2,12.1,63.7432
2,8,N,250,190,270,130,120,46.753056,-72.338611,2003,2003-05-19,31226,Cereal,Eramosa,early,5.144,3.4,935.0781781,80.55744392,157.1380014,0.815771584,3.161114888,192.5220938,7.13800136,2026.682529,37.69809993,Sable loameux,1.6,73.2,12.1,37.4633
3,1,N,0,190,270,0,0,46.753056,-72.338611,2003,2003-05-19,31226,Cereal,Eramosa,early,4.954,3.4,646.1988304,60.4288499,114.619883,1.072124756,2.729044834,189.668616,4.873294347,1996.491228,60.97795322,Sable loameux,1.6,73.2,12.1,9.8427
3,2,N,70,190,270,70,0,46.753056,-72.338611,2003,2003-05-19,31226,Cereal,Eramosa,early,4.954,3.4,646.1988304,60.4288499,114.619883,1.072124756,2.729044834,189.668616,4.873294347,1996.491228,60.97795322,Sable loameux,1.6,73.2,12.1,37.3325
3,3,N,100,190,270,100,0,46.753056,-72.338611,2003,2003-05-19,31226,Cereal,Eramosa,early,4.954,3.4,646.1988304,60.4288499,114.619883,1.072124756,2.729044834,189.668616,4.873294347,1996.491228,60.97795322,Sable loameux,1.6,73.2,12.1,28.4163
3,4,N,130,190,270,130,0,46.753056,-72.338611,2003,2003-05-19,31226,Cereal,Eramosa,early,4.954,3.4,646.1988304,60.4288499,114.619883,1.072124756,2.729044834,189.668616,4.873294347,1996.491228,60.97795322,Sable loameux,1.6,73.2,12.1,44.8317
3,5,N,160,190,270,130,30,46.753056,-72.338611,2003,2003-05-19,31226,Cereal,Eramosa,early,4.954,3.4,646.1988304,60.4288499,114.619883,1.072124756,2.729044834,189.668616,4.873294347,1996.491228,60.97795322,Sable loameux,1.6,73.2,12.1,34.0189
3,6,N,190,190,270,130,60,46.753056,-72.338611,2003,2003-05-19,31226,Cereal,Eramosa,early,4.954,3.4,646.1988304,60.4288499,114.619883,1.072124756,2.729044834,189.668616,4.873294347,1996.491228,60.97795322,Sable loameux,1.6,73.2,12.1,40.8532
3,7,N,220,190,270,130,90,46.753056,-72.338611,2003,2003-05-19,31226,Cereal,Eramosa,early,4.954,3.4,646.1988304,60.4288499,114.619883,1.072124756,2.729044834,189.668616,4.873294347,1996.491228,60.97795322,Sable loameux,1.6,73.2,12.1,46.5321
3,8,N,250,190,270,130,120,46.753056,-72.338611,2003,2003-05-19,31226,Cereal,Eramosa,early,4.954,3.4,646.1988304,60.4288499,114.619883,1.072124756,2.729044834,189.668616,4.873294347,1996.491228,60.97795322,Sable loameux,1.6,73.2,12.1,36.2316
1,1,N,0,190,270,0,0,46.764444,-72.330833,2004,2004-05-30,31226,HRC,Goldrush,mid-season,4.56,3.144,308.1570997,46.22356495,193.4138973,1.540785498,1.450151057,151.0876133,5.709969789,1784.138973,53.17006042,Loam sableux,5.2,51.4,25,36.5763125
1,2,N,70,190,270,70,0,46.764444,-72.330833,2004,2004-05-30,31226,HRC,Goldrush,mid-season,4.56,3.144,308.1570997,46.22356495,193.4138973,1.540785498,1.450151057,151.0876133,5.709969789,1784.138973,53.17006042,Loam sableux,5.2,51.4,25,60.944625
1,3,N,100,190,270,100,0,46.764444,-72.330833,2004,2004-05-30,31226,HRC,Goldrush,mid-season,4.56,3.144,308.1570997,46.22356495,193.4138973,1.540785498,1.450151057,151.0876133,5.709969789,1784.138973,53.17006042,Loam sableux,5.2,51.4,25,45.2895
1,4,N,130,190,270,130,0,46.764444,-72.330833,2004,2004-05-30,31226,HRC,Goldrush,mid-season,4.56,3.144,308.1570997,46.22356495,193.4138973,1.540785498,1.450151057,151.0876133,5.709969789,1784.138973,53.17006042,Loam sableux,5.2,51.4,25,51.1414375
