ingrediente,departamento,municipio,topografia,textura_de_suelo,epoca_recoleccion,altura_corte_cm,altura_planta_cm,edad_corte_d,proteina,ceniza,extracto_etereo,FDN,FDA,lignina,hemicelulosa,almidon,carbohidratos_noes,carbohidratos_solubles,digestibilidad_ms,energia_digestible,energia_metabolizable,energia_neta_manten,energia_neta_ganancia,energia_neta_lactancia
"Rhodes - Chloris gayana - Hoja, Tallo",Cesar,Agustín Codazzi,Plana,Franco arcilloso,Lluvia,0,60,28,8.57,10.54,2.4,63.22,35.58,6.81,27.64,7.69,10.79,3.1,55.15,2.22,1.77,0.93,0.39,1.11
"Rhodes - Chloris gayana - Hoja, Tallo",Cesar,Agustín Codazzi,Plana,Franco arcilloso,Lluvia,0,60,21,11.07,10.49,2.14,64.23,36.46,7.39,27.77,6.83,7.43,0.6,56.87,2.34,1.84,1,0.45,1.15
"Rhodes - Chloris gayana - Hoja, Tallo",Cesar,Agustín Codazzi,Plana,Franco arcilloso,Lluvia,0,68,21,8.32,10.21,2.16,66.12,38.44,7.78,27.68,4.57,6.9,2.32,54.05,2.18,1.72,0.89,0.34,1.09
"Rhodes - Chloris gayana - Hoja, Tallo",Cesar,Agustín Codazzi,Plana,Franco arcilloso,Lluvia,0,54,35,6.45,9.06,1.79,68.42,43.12,8.58,25.3,8.39,10.54,2.15,51.07,2.07,1.6,0.77,0.23,1.02
"Rhodes - Chloris gayana - Hoja, Tallo",Cesar,Agustín Codazzi,Plana,Franco arcilloso,Lluvia,0,55,28,7.52,10.62,1.88,66.62,37.49,7.88,29.13,10.43,12.34,1.91,53.71,2.18,1.71,0.87,0.33,1.08
"Rhodes - Chloris gayana - Hoja, Tallo",Cesar,Agustín Codazzi,Plana,Franco arcilloso,Lluvia,0,47,21,9.41,10.34,2.04,68.15,41.53,7.64,26.62,5.28,6.57,1.29,53.94,2.22,1.72,0.88,0.34,1.09
"Rhodes - Chloris gayana - Hoja, Tallo",Cesar,Agustín Codazzi,Plana,Franco arcilloso,Lluvia,0,67,21,7.38,10.24,2.37,67.99,40.67,8.32,27.32,5.84,7.79,1.95,52.59,2.14,1.67,0.83,0.29,1.06
"Rhodes - Chloris gayana - Hoja, Tallo",Cesar,Agustín Codazzi,Plana,Franco arcilloso,Lluvia,0,70.3,42,6.84,10.87,2.29,68.37,39.09,8.79,29.28,5.94,6.84,0.9,52.66,2.14,1.67,0.83,0.29,1.06
"Rhodes - Chloris gayana - Hoja, Tallo",Cesar,Agustín Codazzi,Plana,Franco arcilloso,Lluvia,0,49.3,42,6.27,9.91,2.1,67.43,40.17,7.35,27.26,10.05,12.04,1.99,51.86,2.11,1.64,0.8,0.26,1.04
"Rhodes - Chloris gayana - Hoja, Tallo",Cesar,Agustín Codazzi,Plana,Franco arcilloso,Lluvia,0,69.3,35,9.1,10.35,2.23,66.97,40.47,7.78,26.5,6.6,7.95,1.36,54.03,2.2,1.72,0.89,0.34,1.09
"Rhodes - Chloris gayana - Hoja, Tallo",Cesar,Agustín Codazzi,Plana,Franco arcilloso,Lluvia,0,53.3,35,8.68,10.16,2.24,66.11,37.88,7.22,28.23,7.68,9.1,1.42,54.51,2.22,1.74,0.9,0.36,1.1
"Rhodes - Chloris gayana - Hoja, Tallo",Cesar,Agustín Codazzi,Plana,Franco arcilloso,Lluvia,0,62.7,28,8.61,9.38,2.14,67.43,41.4,7.68,26.03,6.73,7.86,1.13,53.34,2.19,1.7,0.86,0.32,1.07
"Rhodes - Chloris gayana - Hoja, Tallo",Cesar,Agustín Codazzi,Plana,Franco arcilloso,Lluvia,0,54.3,28,9.12,9.84,2.17,65.45,36.57,6.7,28.88,9.94,12.42,2.47,55.27,2.24,1.77,0.94,0.39,1.12
"Rhodes - Chloris gayana - Hoja, Tallo",Cesar,Agustín Codazzi,Plana,Franco arcilloso,Lluvia,0,57,21,9.93,9.51,1.97,64.47,37.36,6.48,27.11,8.82,10.46,1.63,55.67,2.28,1.79,0.95,0.41,1.13
"Rhodes - Chloris gayana - Hoja, Tallo",Cesar,Agustín Codazzi,Plana,Franco arcilloso,Lluvia,0,58,21,8.22,10.7,2.37,66.85,38.08,7.7,28.77,3.48,5.82,2.34,54.08,2.18,1.73,0.89,0.35,1.09
"Rhodes - Chloris gayana - Hoja, Tallo",Cesar,Agustín Codazzi,Plana,Franco arcilloso,Lluvia,0,43,42,7.04,8.37,2.17,69.13,39.6,9,29.53,5.08,5.39,0.31,52.66,2.16,1.67,0.83,0.29,1.06
"Rhodes - Chloris gayana - Hoja, Tallo",Cesar,Agustín Codazzi,Plana,Franco arcilloso,Lluvia,0,65.5,35,8.25,10.16,2.14,67.47,40.7,7.8,26.77,8.92,10.28,1.36,53.28,2.17,1.69,0.86,0.31,1.07
"Rhodes - Chloris gayana - Hoja, Tallo",Cesar,Agustín Codazzi,Plana,Franco arcilloso,Lluvia,0,46.5,35,11.95,10.11,2.21,65.08,37.78,6.75,27.3,5.97,7.15,1.18,57.15,2.37,1.85,1.01,0.46,1.16
"Rhodes - Chloris gayana - Hoja, Tallo",Cesar,Agustín Codazzi,Plana,Franco arcilloso,Lluvia,0,50.5,28,11.89,10.83,2.22,62.91,36.2,7.2,26.71,6.8,7.85,1.05,57.6,2.38,1.87,1.03,0.48,1.17
"Rhodes - Chloris gayana - Hoja, Tallo",Cesar,Agustín Codazzi,Plana,Franco arcilloso,Lluvia,0,65,21,8.77,11.03,2.3,65.65,35.38,6.62,30.27,8.66,10.8,2.14,55.37,2.25,1.78,0.94,0.39,1.12
"Rhodes - Chloris gayana - Hoja, Tallo",Cesar,Agustín Codazzi,Plana,Franco arcilloso,Lluvia,0,79,21,11.07,9.95,2.44,65.92,37.91,7.32,28.01,5.56,7.19,1.64,56.41,2.34,1.82,0.98,0.43,1.14
"Rhodes - Chloris gayana - Hoja, Tallo",Cesar,Agustín Codazzi,Plana,Franco arcilloso,Lluvia,0,56.3,35,6.59,9.19,2.11,67.47,39.65,7.64,27.82,8.36,10.81,2.45,52.28,2.11,1.65,0.81,0.28,1.05
"Rhodes - Chloris gayana - Hoja, Tallo",Cesar,Agustín Codazzi,Plana,Franco arcilloso,Lluvia,0,54.3,35,7.83,11.5,2.27,67.11,40.42,8.07,26.69,7.19,9.25,2.05,53.03,2.14,1.68,0.85,0.31,1.07
"Rhodes - Chloris gayana - Hoja, Tallo",Cesar,Agustín Codazzi,Plana,Franco arcilloso,Lluvia,0,75,28,6.04,9.29,2.08,66.65,38.54,7.13,28.11,10.22,12.88,2.66,52.19,2.12,1.65,0.81,0.27,1.05
"Rhodes - Chloris gayana - Hoja, Tallo",Cesar,Agustín Codazzi,Plana,Franco arcilloso,Lluvia,0,44.5,28,8.61,11.14,2.29,65.73,36.61,7.88,29.12,7.71,8.46,0.75,54.85,2.24,1.76,0.92,0.37,1.11
"Rhodes - Chloris gayana - Hoja, Tallo",Cesar,Agustín Codazzi,Plana,Franco arcilloso,Lluvia,0,64.7,28,8.24,10.2,2.22,65.52,38.35,7.63,27.17,7.86,9.57,1.7,54.01,2.2,1.72,0.88,0.34,1.09
"Rhodes - Chloris gayana - Hoja, Tallo",Cesar,Agustín Codazzi,Plana,Franco arcilloso,Lluvia,0,48.3,28,7.7,8.93,2.14,68.38,41.79,7.84,26.59,8.37,9.58,1.21,52.49,2.15,1.66,0.82,0.28,1.05
"Rhodes - Chloris gayana - Hoja, Tallo",Cesar,Agustín Codazzi,Plana,Franco arcilloso,Lluvia,0,76,21,9.83,10.33,1.99,65.39,37.18,6.82,28.21,9.63,11.47,1.84,55.65,2.27,1.79,0.95,0.4,1.13
"Rhodes - Chloris gayana - Hoja, Tallo",Cesar,Agustín Codazzi,Plana,Franco arcilloso,Lluvia,0,86,21,8.57,9.82,1.93,66.36,39.67,7.26,26.69,7.9,10.8,2.9,53.86,2.19,1.72,0.88,0.34,1.08
"Rhodes - Chloris gayana - Hoja, Tallo",Cesar,Agustín Codazzi,Plana,Franco arcilloso,Lluvia,0,56,21,11.73,11.11,2.12,63.89,36.87,7.17,27.02,7.07,7.48,0.42,57.26,2.36,1.86,1.01,0.46,1.16
"Rhodes - Chloris gayana - Hoja, Tallo",Cesar,Agustín Codazzi,Plana,Franco arcilloso,Lluvia,0,58,35,9.55,10.69,2.4,66.83,39.44,7.41,27.39,5.27,7.16,1.89,54.71,2.23,1.75,0.91,0.37,1.1
"Rhodes - Chloris gayana - Hoja, Tallo",Cesar,Agustín Codazzi,Plana,Franco arcilloso,Lluvia,0,71,28,9.56,10.13,2.23,67.68,40.56,7.45,27.12,5.59,5.81,0.22,54.37,2.23,1.74,0.9,0.36,1.1
"Rhodes - Chloris gayana - Hoja, Tallo",Cesar,Agustín Codazzi,Plana,Franco arcilloso,Lluvia,0,70,28,13.15,10.55,2.34,63.36,36.86,7.04,26.5,6.87,7.91,1.05,58.4,2.42,1.9,1.06,0.51,1.19
"Rhodes - Chloris gayana - Hoja, Tallo",Cesar,Agustín Codazzi,Plana,Franco arcilloso,Lluvia,0,78,21,11.7,11.59,2.21,63.75,35.91,7.44,27.84,6.09,6.97,0.87,57.54,2.36,1.87,1.03,0.47,1.17
"Rhodes - Chloris gayana - Hoja, Tallo",Cesar,Agustín Codazzi,Plana,Franco arcilloso,Lluvia,0,64.3,35,7.34,8.63,2.13,67.56,40.94,7.56,26.62,6.71,8.4,1.69,52.47,2.15,1.66,0.82,0.28,1.05
"Rhodes - Chloris gayana - Hoja, Tallo",Cesar,Agustín Codazzi,Plana,Franco arcilloso,Lluvia,0,67,28,10.49,9.8,2.39,65.02,38.53,7.23,26.49,6.32,8,1.68,55.75,2.29,1.79,0.95,0.41,1.13
"Rhodes - Chloris gayana - Hoja, Tallo",Cesar,Agustín Codazzi,Plana,Franco arcilloso,Lluvia,0,75,21,10.83,11.11,2.21,63.19,36.24,6.95,26.95,7.79,11.4,3.61,56.74,2.3,1.83,0.99,0.45,1.15
"Rhodes - Chloris gayana - Hoja, Tallo",Cesar,Agustín Codazzi,Plana,Franco arcilloso,Lluvia,0,70,21,9.35,10.64,1.97,65.18,35.23,6.84,29.95,9.79,11.8,2.01,55.88,2.28,1.8,0.96,0.41,1.13
"Rhodes - Chloris gayana - Hoja, Tallo",Cesar,Agustín Codazzi,Plana,Franco arcilloso,Lluvia,0,65,21,10.81,10.34,2.15,65.84,39.37,7.17,26.47,6.49,7.13,0.64,55.74,2.3,1.79,0.95,0.41,1.13
"Rhodes - Chloris gayana - Hoja, Tallo",Cesar,Agustín Codazzi,Plana,Franco arcilloso,Lluvia,0,60.5,42,7.07,9.33,1.98,70.02,42.04,8.87,27.98,5.4,6.12,0.72,51.91,2.11,1.64,0.8,0.26,1.04
"Rhodes - Chloris gayana - Hoja, Tallo",Cesar,Agustín Codazzi,Plana,Franco arcilloso,Lluvia,0,50,42,7.32,9.98,2.81,67.24,39.79,8.24,27.45,5.16,6.78,1.62,52.82,2.14,1.67,0.84,0.3,1.06
"Rhodes - Chloris gayana - Hoja, Tallo",Cesar,Agustín Codazzi,Plana,Franco arcilloso,Lluvia,0,72,35,8.73,10.4,2.26,65.59,38.84,7.8,26.75,8.42,10.61,2.19,54.25,2.2,1.73,0.89,0.35,1.09
"Rhodes - Chloris gayana - Hoja, Tallo",Cesar,Agustín Codazzi,Plana,Franco arcilloso,Lluvia,0,68.7,35,8.36,11.08,2.43,65.6,37.84,7.68,27.76,7.5,9.58,2.09,54.27,2.19,1.73,0.9,0.35,1.09
"Rhodes - Chloris gayana - Hoja, Tallo",Cesar,Agustín Codazzi,Plana,Franco arcilloso,Lluvia,0,46.5,28,8.11,10.39,2.19,67,39.54,7.17,27.46,7.26,8.77,1.52,53.53,2.18,1.7,0.87,0.32,1.08
"Rhodes - Chloris gayana - Hoja, Tallo",Cesar,Agustín Codazzi,Plana,Franco arcilloso,Lluvia,0,70.5,28,8.38,10.3,2.13,67.51,39.84,7.93,27.67,7.01,9.33,2.32,53.65,2.18,1.71,0.87,0.33,1.08
"Rhodes - Chloris gayana - Hoja, Tallo",Cesar,Agustín Codazzi,Plana,Franco arcilloso,Lluvia,0,57,21,11.03,11.01,2.38,63.37,35,6.03,28.37,8.26,9.87,1.61,57.29,2.35,1.86,1.02,0.47,1.16
"Rhodes - Chloris gayana - Hoja, Tallo",Cesar,Agustín Codazzi,Plana,Franco arcilloso,Lluvia,0,76,21,9.62,11.93,2.24,64.83,36.48,7.64,28.35,7.23,8.44,1.21,55.7,2.27,1.79,0.95,0.41,1.13
"Rhodes - Chloris gayana - Hoja, Tallo",Antioquia,San Roque,Ondulada,Franco arenoso,Lluvia,10,0,77,9.13,8.64,1.12,69.58,40.09,8.61,29.49,2.98,4.94,1.96,54.17,2.24,1.73,0.89,0.35,1.09
"Rhodes - Chloris gayana - Hoja, Tallo",Antioquia,San Roque,Ondulada,Franco arenoso,Lluvia,10,0,77,8.39,7.51,1.27,69.81,40.38,9.21,29.43,3.78,4.07,0.3,53.49,2.19,1.7,0.86,0.32,1.08
"Rhodes - Chloris gayana - Hoja, Tallo",Antioquia,San Roque,Ondulada,Franco arenoso,Lluvia,10,0,77,10.65,8.56,1.25,65.67,37.12,8.33,28.55,2.84,5.15,2.31,56.32,2.33,1.82,0.98,0.43,1.14
"Rhodes - Chloris gayana - Hoja, Tallo",Antioquia,San Roque,Ondulada,Franco arenoso,Lluvia,10,0,77,9.18,9.55,1.71,68.31,40.49,9.28,27.82,0.69,1.6,0.91,54.09,2.21,1.73,0.89,0.35,1.09
"Rhodes - Chloris gayana - Hoja, Tallo",Antioquia,San Roque,Ondulada,Franco arenoso,Lluvia,10,0,77,8.92,7.92,1.1,70.31,39.9,9.15,30.41,3.65,4.4,0.75,54.06,2.22,1.73,0.89,0.34,1.09
"Rhodes - Chloris gayana - Hoja, Tallo",Antioquia,San Roque,Ondulada,Franco arenoso,Lluvia,10,0,77,9.71,9.63,1.38,69.75,37.87,8.09,31.88,1.66,3.3,1.63,55.33,2.26,1.78,0.94,0.39,1.12
"Rhodes - Chloris gayana - Hoja, Tallo",Antioquia,San Roque,Ondulada,Franco arenoso,Lluvia,10,0,77,8.29,8.65,1.25,67.07,36.9,9.02,30.17,6.26,8.8,2.54,54.51,2.19,1.74,0.9,0.36,1.1
"Rhodes - Chloris gayana - Hoja, Tallo",Antioquia,San Roque,Ondulada,Franco arenoso,Lluvia,10,0,77,7.75,8.4,1.12,72.15,41.98,9.3,30.17,4.2,5.53,1.33,52.47,2.16,1.66,0.82,0.28,1.05
"Rhodes - Chloris gayana - Hoja, Tallo",Antioquia,San Roque,Ondulada,Franco arenoso,Lluvia,10,0,77,7.04,7.25,1.04,73.31,40.85,9.44,32.46,4.41,5.75,1.34,52.26,2.16,1.65,0.81,0.28,1.05
"Rhodes - Chloris gayana - Hoja, Tallo",Antioquia,San Roque,Ondulada,Franco arenoso,Lluvia,10,0,77,7.86,9.18,1.77,68.77,40.26,9.05,28.51,2.79,3.28,0.49,53.1,2.16,1.69,0.85,0.31,1.07
"Rhodes - Chloris gayana - Hoja, Tallo",Antioquia,San Roque,Ondulada,Franco arenoso,Lluvia,10,0,77,10.38,9.14,1.76,67.06,38.63,8.92,28.43,3.79,4.71,0.92,55.63,2.26,1.79,0.95,0.4,1.13
"Rhodes - Chloris gayana - Hoja, Tallo",Antioquia,San Roque,Ondulada,Franco arenoso,Lluvia,10,0,77,10.95,8.31,1.17,67.42,37.63,8.75,29.79,2.86,5.19,2.33,56.4,2.32,1.82,0.98,0.43,1.14
"Rhodes - Chloris gayana - Hoja, Tallo",Antioquia,San Roque,Ondulada,Franco arenoso,Lluvia,10,0,77,11.46,10.62,1.49,65.07,36.61,8.34,28.46,2.1,4.11,2.01,57.13,2.35,1.85,1.01,0.46,1.16
"Rhodes - Chloris gayana - Hoja, Tallo",Antioquia,San Roque,Ondulada,Franco arenoso,Lluvia,10,0,77,11.25,11.71,2.06,64.56,38.52,7.63,26.04,0.05,0.06,0.01,56.36,2.34,1.82,0.98,0.43,1.14
"Rhodes - Chloris gayana - Hoja, Tallo",Antioquia,San Roque,Ondulada,Franco arenoso,Lluvia,10,0,77,10.3,10.66,1.54,64.87,35.04,8.67,29.83,2.03,3.77,1.73,56.7,2.32,1.83,0.99,0.44,1.15
"Rhodes - Chloris gayana - Hoja, Tallo",Antioquia,San Roque,Ondulada,Franco arenoso,Lluvia,10,0,77,9.11,7.56,1.12,70.09,41.28,9.05,28.81,3.59,3.65,0.06,53.78,2.21,1.71,0.88,0.33,1.08
"Rhodes - Chloris gayana - Hoja, Tallo",Antioquia,San Roque,Ondulada,Franco arenoso,Lluvia,10,0,77,9.69,10.2,1.31,68.02,37.65,8.47,30.37,2.16,3.58,1.42,55.39,2.25,1.78,0.94,0.39,1.12
"Rhodes - Chloris gayana - Hoja, Tallo",Antioquia,San Roque,Ondulada,Franco arenoso,Lluvia,10,0,77,7.99,8.35,1.46,70.12,41.37,9.31,28.75,2.87,3.48,0.61,52.86,2.14,1.68,0.84,0.3,1.06
"Rhodes - Chloris gayana - Hoja, Tallo",Antioquia,San Roque,Ondulada,Franco arenoso,Lluvia,10,0,77,8.78,8.75,1.25,70.06,41.02,9.05,29.04,2.64,3.64,1,53.6,2.16,1.71,0.87,0.33,1.08
"Rhodes - Chloris gayana - Hoja, Tallo",Antioquia,San Roque,Ondulada,Franco arenoso,Lluvia,10,0,77,11.34,8.8,1.29,67.37,39.56,9.06,27.81,2.73,3.18,0.45,56.1,2.29,1.81,0.97,0.42,1.14
"Rhodes - Chloris gayana - Hoja, Tallo",Antioquia,San Roque,Ondulada,Franco arenoso,Lluvia,10,0,77,8.97,7.87,1.38,69.98,39.36,9.13,30.62,2.54,3,0.46,54.27,2.19,1.73,0.9,0.35,1.09
"Rhodes - Chloris gayana - Hoja, Tallo",Antioquia,San Roque,Ondulada,Franco arenoso,Lluvia,10,0,77,7.11,9.02,0.99,70.49,39.08,9.38,31.41,2.61,2.93,0.32,52.88,2.15,1.68,0.84,0.3,1.06
"Rhodes - Chloris gayana - Hoja, Tallo",Antioquia,San Roque,Ondulada,Franco arenoso,Lluvia,10,0,77,11.27,9.68,1.36,65.69,36.35,8.14,29.34,0.68,2.02,1.34,57.06,2.32,1.85,1.01,0.46,1.16
"Rhodes - Chloris gayana - Hoja, Tallo",Antioquia,San Roque,Ondulada,Franco arenoso,Lluvia,10,0,77,8.62,8.14,1.24,70.8,38.48,9.31,32.32,4.07,5.66,1.58,54.27,2.2,1.73,0.9,0.35,1.09
"Rhodes - Chloris gayana - Hoja, Tallo",Antioquia,San Roque,Ondulada,Franco arenoso,Lluvia,10,0,77,8,8.9,1.22,71.43,39.06,9.07,32.37,2.67,3.5,0.83,53.59,2.19,1.71,0.87,0.33,1.08
"Rhodes - Chloris gayana - Hoja, Tallo",Antioquia,San Roque,Ondulada,Franco arenoso,Lluvia,10,0,77,8.22,8.64,1.21,69.68,39.09,8.9,30.59,1.59,2.94,1.35,53.76,2.19,1.71,0.87,0.33,1.08
"Rhodes - Chloris gayana - Hoja, Tallo",Antioquia,San Roque,Ondulada,Franco arenoso,Lluvia,10,0,77,9.24,7.61,1.15,70.93,37.83,8.85,33.1,2.29,2.66,0.37,54.97,2.27,1.76,0.92,0.38,1.11
"Rhodes - Chloris gayana - Hoja, Tallo",Antioquia,San Roque,Ondulada,Franco arenoso,Lluvia,10,0,77,9.26,9.79,1.38,68.57,40.14,8.65,28.43,1.89,1.99,0.1,54.26,2.2,1.73,0.89,0.35,1.09
"Rhodes - Chloris gayana - Hoja, Tallo",Antioquia,San Roque,Ondulada,Franco arenoso,Lluvia,10,0,77,8.03,8.86,1.32,71.72,40.97,8.81,30.75,3.02,3.63,0.62,53.02,2.16,1.68,0.84,0.3,1.07
"Rhodes - Chloris gayana - Hoja, Tallo",Antioquia,San Roque,Ondulada,Franco arenoso,Lluvia,10,0,77,9.01,9.18,1.35,69.64,39.05,9.08,30.59,0.08,0.16,0.09,54.4,2.2,1.74,0.9,0.36,1.1
"Rhodes - Chloris gayana - Hoja, Tallo",Antioquia,San Roque,Ondulada,Franco arenoso,Lluvia,10,0,77,7.68,8.44,1.23,70.24,41.99,9.02,28.25,1.15,1.26,0.12,52.41,2.1,1.66,0.82,0.28,1.05
"Rhodes - Chloris gayana - Hoja, Tallo",Antioquia,San Roque,Ondulada,Franco arenoso,Lluvia,10,0,77,8.64,7.96,1.48,71.05,41.82,9.05,29.23,3.14,3.32,0.18,53.24,2.15,1.69,0.85,0.31,1.07
"Rhodes - Chloris gayana - Hoja, Tallo",Antioquia,San Roque,Ondulada,Franco arenoso,Lluvia,10,0,77,8.9,8.56,1.87,67.43,41,8.27,26.43,3.24,3.86,0.62,53.7,2.17,1.71,0.87,0.33,1.08
"Rhodes - Chloris gayana - Hoja, Tallo",Antioquia,San Roque,Ondulada,Franco arenoso,Lluvia,10,0,77,8.65,8.43,1.38,69.23,39.31,8.87,29.92,2.59,2.97,0.39,54.03,2.22,1.72,0.89,0.34,1.09
"Rhodes - Chloris gayana - Hoja, Tallo",Antioquia,San Roque,Ondulada,Franco arenoso,Lluvia,10,0,77,8.31,9.38,1.23,70.9,40.44,9.37,30.46,2.46,3.64,1.18,53.41,2.16,1.7,0.86,0.32,1.07
"Rhodes - Chloris gayana - Hoja, Tallo",Antioquia,San Roque,Ondulada,Franco arenoso,Lluvia,10,0,77,8.4,8.92,1.27,70.79,38.93,9.09,31.86,1.79,2.81,1.02,53.95,2.21,1.72,0.88,0.34,1.09
"Rhodes - Chloris gayana - Hoja, Tallo",Antioquia,San Roque,Ondulada,Franco arenoso,Lluvia,10,0,77,8.76,8.67,1.38,70.79,37.93,8.87,32.86,2.55,2.69,0.14,54.56,2.23,1.75,0.91,0.36,1.1
"Rhodes - Chloris gayana - Hoja, Tallo",Antioquia,San Roque,Ondulada,Franco arenoso,Lluvia,10,0,77,7.75,9.37,1.52,68.87,39.6,9.1,29.27,1.27,2.02,0.74,53.22,2.14,1.69,0.85,0.31,1.07
"Rhodes - Chloris gayana - Hoja, Tallo",Antioquia,San Roque,Ondulada,Franco arenoso,Lluvia,10,0,77,11.62,9.28,1.17,66.89,36.4,8.55,30.49,0.75,1.64,0.89,57.32,2.34,1.86,1.02,0.47,1.16
"Rhodes - Chloris gayana - Hoja, Tallo",Antioquia,San Roque,Ondulada,Franco arenoso,Lluvia,10,0,77,6.66,8.55,0.9,75.89,37.75,9,38.14,3.08,4.78,1.71,52.94,2.15,1.68,0.84,0.3,1.06
"Rhodes - Chloris gayana - Hoja, Tallo",Antioquia,San Roque,Ondulada,Franco arenoso,Lluvia,10,0,77,6.54,7.39,1.09,72.2,39.48,8.69,32.72,3.65,5.12,1.47,52.29,2.14,1.65,0.82,0.28,1.05
"Rhodes - Chloris gayana - Hoja, Tallo",Antioquia,San Roque,Ondulada,Franco arenoso,Lluvia,10,0,77,8.69,8.98,1.32,70.57,39.01,8.97,31.56,1.64,3.24,1.6,54.16,2.21,1.73,0.89,0.35,1.09
"Rhodes - Chloris gayana - Hoja, Tallo",Antioquia,San Roque,Ondulada,Franco arenoso,Lluvia,10,0,77,7.7,9.24,1.21,69.89,40.2,9.48,29.69,2.54,3.87,1.34,52.99,2.15,1.68,0.84,0.3,1.07
"Rhodes - Chloris gayana - Hoja, Tallo",Antioquia,San Roque,Ondulada,Franco arenoso,Lluvia,10,0,77,7.91,8.64,1.23,69.45,38.33,9.05,31.12,1.9,3.84,1.93,53.75,2.2,1.71,0.87,0.33,1.08
"Rhodes - Chloris gayana - Hoja, Tallo",Antioquia,San Roque,Ondulada,Franco arenoso,Lluvia,10,0,77,8.32,6.84,1.2,67.97,37.12,8.99,30.85,5.43,7.07,1.64,54.46,2.22,1.74,0.9,0.36,1.1
"Rhodes - Chloris gayana - Hoja, Tallo",Antioquia,San Roque,Ondulada,Franco arenoso,Lluvia,10,0,77,7.8,9.85,1.27,69.97,40.69,9.4,29.28,3.22,3.92,0.69,52.92,2.13,1.68,0.84,0.3,1.06
"Rhodes - Chloris gayana - Hoja, Tallo",Antioquia,San Roque,Ondulada,Franco arenoso,Lluvia,10,0,77,8.75,7.33,1.26,65.38,36.32,9.23,29.06,7.69,11.13,3.44,55.06,2.23,1.77,0.93,0.38,1.11
"Rhodes - Chloris gayana - Hoja, Tallo",Antioquia,San Roque,Ondulada,Franco arenoso,Lluvia,10,0,77,7.92,9.31,1.3,70.36,38.72,9.46,31.64,2.44,4.06,1.62,53.64,2.18,1.71,0.87,0.33,1.08
"Rhodes - Chloris gayana - Hoja, Tallo",Antioquia,San Roque,Ondulada,Franco arenoso,Lluvia,10,0,77,10.65,8.22,1.37,67.9,38.7,8.99,29.2,2.26,3.47,1.21,55.82,2.29,1.8,0.96,0.41,1.13
"Rhodes - Chloris gayana - Hoja, Tallo",Antioquia,San Roque,Ondulada,Franco arenoso,Lluvia,10,0,77,7.33,7.52,0.95,74.95,39.68,9.49,35.27,3.84,4.79,0.96,52.86,2.17,1.68,0.84,0.3,1.06
"Rhodes - Chloris gayana - Hoja, Tallo",Antioquia,San Roque,Ondulada,Franco arenoso,Lluvia,10,0,77,11.51,8.64,1.45,68.34,39.49,8.17,28.85,0.96,2.62,1.66,56.26,2.34,1.82,0.97,0.43,1.14
"Rhodes - Chloris gayana - Hoja, Tallo",Antioquia,San Roque,Ondulada,Franco arenoso,Lluvia,10,0,77,7.77,9.62,1.3,69.86,38.09,8.45,31.77,2.17,4.5,2.33,53.72,2.19,1.71,0.87,0.33,1.08
"Rhodes - Chloris gayana - Hoja, Tallo",Antioquia,San Roque,Ondulada,Franco arenoso,Lluvia,10,0,77,10.32,10.11,1.79,67.74,38.89,9.16,28.85,3.53,5.28,1.75,55.5,2.26,1.78,0.94,0.4,1.12
"Rhodes - Chloris gayana - Hoja, Tallo",Antioquia,San Roque,Ondulada,Franco arenoso,Lluvia,10,0,77,7.61,7.91,1.05,70.91,41.48,8.94,29.43,4.47,5.57,1.1,52.52,2.15,1.66,0.82,0.29,1.05
"Rhodes - Chloris gayana - Hoja, Tallo",Antioquia,San Roque,Ondulada,Franco arenoso,Lluvia,10,0,77,9.21,9.38,1.19,67.67,38.46,9.09,29.21,2.66,3.41,0.75,54.75,2.23,1.75,0.91,0.37,1.11
"Rhodes - Chloris gayana - Hoja, Tallo",Antioquia,San Roque,Ondulada,Franco arenoso,Lluvia,10,0,77,7.14,6.91,1.07,71.22,40.33,8.73,30.89,4.68,6.12,1.44,52.51,2.16,1.66,0.82,0.29,1.05
"Rhodes - Chloris gayana - Hoja, Tallo",Antioquia,San Roque,Ondulada,Franco arenoso,Lluvia,10,0,77,7.25,7.96,1.19,72.68,41.35,9.48,31.33,3.39,4.29,0.9,52.27,2.15,1.65,0.81,0.28,1.05
"Rhodes - Chloris gayana - Hoja, Tallo",Antioquia,San Roque,Ondulada,Franco arenoso,Lluvia,10,0,77,7.04,8.47,1.09,71.96,40.7,9.24,31.26,3.95,5.41,1.46,52.31,2.12,1.65,0.82,0.28,1.05
"Rhodes - Chloris gayana - Hoja, Tallo",Antioquia,San Roque,Ondulada,Franco arenoso,Lluvia,10,0,77,6.76,8.8,1.26,72.84,41.34,9.5,31.5,3.59,4.86,1.27,51.88,2.08,1.64,0.8,0.26,1.04
"Rhodes - Chloris gayana - Hoja, Tallo",Antioquia,San Roque,Ondulada,Franco arenoso,Lluvia,10,0,77,6.28,7.56,1.08,74.87,39.35,9.29,35.52,4.38,6.15,1.77,52.13,2.13,1.65,0.81,0.27,1.05
"Megathyrsus maximus sp. - Megathyrsus maximus sp. - Hoja, Tallo",Córdoba,Cereté,Plana,Arcilloso,Lluvia,20,70,42,2.92,8.87,1.73,73.36,42.32,10.09,31.04,1.56,3.6,2.03,48.5,1.94,1.5,0.66,0.13,0.96
