ingrediente,departamento,municipio,topografia,textura_de_suelo,epoca_recoleccion,altura_corte_cm,altura_planta_cm,edad_corte_d,proteina,ceniza,extracto_etereo,FDN,FDA,lignina,hemicelulosa,almidon,carbohidratos_noes,carbohidratos_solubles,digestibilidad_ms,energia_digestible,energia_metabolizable,energia_neta_manten,energia_neta_ganancia,energia_neta_lactancia
"Ryegrass perenne - Lolium perenne - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco arcilloso,Sequía,5,20,35,19.31,14.54,2.89,37.36,20.75,3.11,16.61,3.82,15.1,11.28,68.38,2.8,2.31,1.44,0.85,1.42
"Ryegrass perenne - Lolium perenne - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco arcilloso,Sequía,5,20,35,12.04,11.37,3.23,49.95,26.9,4.48,23.05,2.43,8.81,6.38,60.65,2.52,1.99,1.15,0.59,1.24
"Ryegrass perenne - Lolium perenne - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco arcilloso,Transición sequía a lluvia,5,20,35,17.83,11.73,3.65,49.97,25.55,4.32,24.42,5.05,8.03,2.98,65.69,2.8,2.2,1.34,0.76,1.35
"Ryegrass perenne - Lolium perenne - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco arcilloso,Transición sequía a lluvia,5,20,35,10.91,12.42,3.64,55.97,28.57,6.1,27.4,1.93,7.56,5.63,59.22,2.52,1.94,1.09,0.54,1.21
"Ryegrass perenne - Lolium perenne - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco arcilloso,Transición sequía a lluvia,5,20,35,13.63,11.84,3.76,58.04,29.55,6.35,28.49,2.86,7.68,4.82,61.08,2.6,2.01,1.16,0.6,1.25
"Ryegrass perenne - Lolium perenne - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco arcilloso,Sequía,5,20,35,15.18,10.58,3.28,53.93,28.2,5.74,25.73,4.95,9.86,4.91,62.74,2.64,2.08,1.23,0.66,1.29
"Ryegrass perenne - Lolium perenne - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco arcilloso,Sequía,5,20,35,15.48,11.08,2.72,48.94,29.1,5.81,19.84,4.02,10.28,6.27,62.7,2.61,2.08,1.23,0.66,1.29
"Ryegrass perenne - Lolium perenne - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco arcilloso,Sequía,5,20,35,15.75,9.64,2.92,49.46,28.08,5.07,21.38,4.32,12.85,8.53,63.24,2.66,2.1,1.25,0.68,1.3
"Ryegrass perenne - Lolium perenne - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco arcilloso,Transición lluvia a sequía,5,20,35,9.83,10.93,3.61,55.78,28.98,6.58,26.8,2.77,8.45,5.67,58.23,2.42,1.9,1.05,0.5,1.18
"Ryegrass perenne - Lolium perenne - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco arcilloso,Transición lluvia a sequía,5,20,35,12.74,9.85,2.9,58.02,30.88,6.07,27.14,1.53,6.98,5.45,59.95,2.49,1.97,1.12,0.56,1.22
"Ryegrass perenne - Lolium perenne - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco arcilloso,Transición lluvia a sequía,5,20,35,9.1,9.82,3.7,54.37,29.72,6.85,24.65,3.05,9.98,6.93,57.42,2.45,1.86,1.02,0.47,1.17
"Ryegrass perenne - Lolium perenne - Hoja, Tallo",Cundinamarca,Villa de San Diego de Ubate,Ondulada,Franco,Transición sequía a lluvia,28,46,70,24.37,11.79,2.24,46.28,27.4,4.02,18.88,6.72,9.2,2.48,70.31,3,2.39,1.51,0.92,1.46
"Ryegrass perenne - Lolium perenne - Hoja, Tallo",Cundinamarca,Villa de San Diego de Ubate,Ondulada,Arenoso,Transición sequía a lluvia,28,46,70,25.08,12.11,2.2,45.62,28.4,3.98,17.22,6.47,9.37,2.9,70.57,3.01,2.4,1.52,0.92,1.46
"Ryegrass perenne - Lolium perenne - Hoja, Tallo",Cundinamarca,Villa de San Diego de Ubate,Plana,Franco,Transición sequía a lluvia,28,46,70,23.37,11.64,2.36,47.29,28.44,4.7,18.85,7.82,10.88,3.06,69.19,2.94,2.34,1.47,0.88,1.43
"Ryegrass perenne - Lolium perenne - Hoja, Tallo",Cundinamarca,Villa de San Diego de Ubate,Ondulada,Arcilloso,Transición sequía a lluvia,28,46,70,26.36,12.09,2.2,44.65,28.24,4.06,16.41,6.62,8.49,1.86,71.63,3.07,2.44,1.56,0.96,1.49
"Ryegrass perenne - Lolium perenne - Hoja, Tallo",Cundinamarca,Villa de San Diego de Ubate,Ondulada,Arenoso,Transición sequía a lluvia,30,50,77,24.04,12.44,2.24,47.27,29.43,4.97,17.84,6.64,10.46,3.83,69.41,2.93,2.35,1.48,0.89,1.44
"Ryegrass perenne - Lolium perenne - Hoja, Tallo",Cundinamarca,Villa de San Diego de Ubate,Plana,Franco,Transición sequía a lluvia,28,46,70,21.85,11.45,2.29,46.3,27.54,4.65,18.76,7.11,12.13,5.02,68.26,2.87,2.31,1.43,0.85,1.41
"Ryegrass perenne - Lolium perenne - Hoja, Tallo",Cundinamarca,Fúquene,Plana,Franco,Transición sequía a lluvia,28,46,70,30.16,13.5,2.37,44.67,28.26,4.43,16.41,7.3,7.31,0.01,74.65,3.24,2.57,1.67,1.06,1.56
"Ryegrass perenne - Lolium perenne - Hoja, Tallo",Cundinamarca,Fúquene,Plana,Franco,Transición sequía a lluvia,28,46,70,28.65,13.1,2.6,42.59,25.46,4.34,17.13,6.31,11.06,4.74,74.33,3.17,2.55,1.65,1.05,1.55
"Ryegrass perenne - Lolium perenne - Hoja, Tallo",Cundinamarca,Fúquene,Plana,Arcilloso,Transición sequía a lluvia,28,46,70,25.87,11.71,2.39,50.2,32,5.32,18.2,7.48,7.82,0.34,70.06,2.98,2.38,1.5,0.91,1.45
"Ryegrass perenne - Lolium perenne - Hoja, Tallo",Cundinamarca,Chocontá,Ondulada,Franco,Transición sequía a lluvia,35,57,77,23.82,12.41,2.41,44.78,25.24,4.54,19.54,6.82,11.36,4.54,70.56,2.95,2.4,1.52,0.92,1.46
"Ryegrass perenne - Lolium perenne - Hoja, Tallo",Cundinamarca,Chocontá,Ondulada,Franco,Transición sequía a lluvia,35,57,77,25.03,13.29,2.3,44.76,27.53,4.91,17.23,5.82,10.02,4.2,70.8,2.97,2.41,1.53,0.93,1.47
"Ryegrass perenne - Lolium perenne - Hoja, Tallo",Cundinamarca,Chocontá,Ondulada,Franco,Transición sequía a lluvia,35,57,77,26.44,15.08,2.67,48.39,36.27,5.13,12.12,5.42,5.43,0.01,69.18,3.05,2.34,1.47,0.88,1.43
