departamento,municipio,cultivo,periodo,area_sembrada_ha,area_cosechada_ha,produccion_t,rendimiento_t_ha
Tolima,Suarez,Limon,2015,230,170,2550,15
Tolima,Ortega,Limon,2015,140,120,360,3
Tolima,Venadillo,Limon,2015,100,80,240,3
Tolima,Saldana,Limon,2015,90,90,900,10
Tolima,Coyaima,Limon,2015,60,55,99,1.8
Tolima,Honda,Limon,2015,35,35,105,3
Tolima,Purificacion,Limon,2015,30,30,390,13
Tolima,Piedras,Limon,2015,21,15,33,2.2
Tolima,Armero (guayabal),Limon,2015,6,6,74,12.3
Tolima,Carmen de apicala,Limon,2015,4,4,48,12
Vichada,La primavera,Limon,2015,4,4,19,5
Atlantico,Santo tomas,Limon,2016,405,325,10400,32
Atlantico,Palmar de varela,Limon,2016,150,90,630,7
Atlantico,Malambo,Limon,2016,53,48,480,10
Atlantico,Sabanalarga,Limon,2016,40,40,80,2
Atlantico,Luruaco,Limon,2016,31,31,155,5
Atlantico,Sabanagrande,Limon,2016,30,7,140,20
Atlantico,Tubara,Limon,2016,25,7,28,4
Atlantico,Repelon,Limon,2016,22,12,72,6
Atlantico,Usiacuri,Limon,2016,18,18,90,5
