subregion,periodo,municipio,area_total,area_produccion,volumen_produccion
Occidente,2004,Heliconia,781,654,588.6
Suroeste,2004,Hispania,955,946,1135.2
Norte,2004,Ituango,2870,2870,3157
Suroeste,2004,Jardín,2184.5,1789.5,3400.1
Suroeste,2004,Jericó,2115,1714,3136.6
Oriente,2004,La Ceja,552,481,721.5
Valle de Aburra,2004,La Estrella,35,35,24.5
Occidente,2004,Liborina,1109,997,997
Magdalena Medio,2004,Maceo,229,229,103.1
Valle de Aburra,2004,Medellín,1027,1027,821.6
Suroeste,2004,Montebello,2037.3,1731.3,2423.8
Oriente,2004,Nariño,2727,2209,1988.1
Occidente,2004,Olaya,314,304,304
Occidente,2004,Peque,988,943,848.7
Suroeste,2004,Pueblorrico,1669,1371,3256.1
Occidente,2004,Sabanalarga,944.5,929.5,813.3
Valle de Aburra,2004,Sabaneta,136.8,136.8,256.5
Suroeste,2004,Salgar,5556,4496,7868
Norte,2004,San Andrés De Cuerquia,711.5,703.5,703.5
Oriente,2004,San Carlos,1613,1613,1477.5
Oriente,2004,San Francisco,616,616,554.4
Occidente,2004,San Jerónimo,595,595,505.8
Oriente,2004,San Luis,774,774,696.6
Oriente,2004,San Rafael,1145,923.4,923.4
Nordeste,2004,San Roque,1147,984,1082.4
Suroeste,2004,Santa Bárbara,2932,2762,2347.7
Occidente,2004,Santa Fe De Antioquia,1340,1165,1120.7
Norte,2004,Santa Rosa De Osos,521,488,585.6
Nordeste,2004,Santo Domingo,1189,1175,1116.3
Oriente,2004,Sonsón,3475,3350,4020
Occidente,2004,Sopetrán,954.3,943.3,754.6
Suroeste,2004,Támesis,2349,2057,2982.7
Suroeste,2004,Tarso,1339.5,1066.5,1599.8
Suroeste,2004,Titiribí,779,728,961
Norte,2004,Toledo,844,763,610.4
Occidente,2004,Uramita,699,650,332.8
Suroeste,2004,Urrao,983,728,728
Suroeste,2004,Valparaiso,631,611,733.2
Nordeste,2004,Vegachí,480,477,208.4
Suroeste,2004,Venecia,481,381,495.3
Nordeste,2004,Yalí,193,168,126
Norte,2004,Yarumal,362,318,397.5
Nordeste,2004,Yolombó,1801,1761,1232.7
Oriente,2005,Abejorral,4293,3976.7,2425.8
Occidente,2005,Abriaquí,102.5,102.5,62.8
Oriente,2005,Alejandría,740,740,740
Suroeste,2005,Amagá,1150,1150,1483.5
Nordeste,2005,Amalfi,1532,1469,2203.5
Suroeste,2005,Andes,9233,7705.9,21576.5
Suroeste,2005,Angelópolis,600,502,803.2
Norte,2005,Angostura,986,986,986
Nordeste,2005,Anorí,210,208,234
Occidente,2005,Anzá,1302,1280,1292.8
Oriente,2005,Argelia,1800,1400,1400
Occidente,2005,Armenia,807.2,700,787.5
Valle de Aburra,2005,Barbosa,1423.3,1386.3,1732.9
Valle de Aburra,2005,Bello,80,80,72
Suroeste,2005,Betania,5439.4,5427.2,7819.5
Suroeste,2005,Betulia,4547,4197,10072.8
Norte,2005,Briceño,210,210,105
Occidente,2005,Buriticá,805,805,676.2
Occidente,2005,Caicedo,1169,1163,1163
Valle de Aburra,2005,Caldas,230.3,224.4,403.9
Norte,2005,Campamento,250,220,187
Occidente,2005,Cañasgordas,2645,2581,1548.6
Magdalena Medio,2005,Caracolí,35,33,15.8
Suroeste,2005,Caramanta,1162.9,1055.7,1061
Nordeste,2005,Cisneros,272,272,272
Suroeste,2005,Ciudad Bolívar,8710,6532,13064
Oriente,2005,Cocorná,1570,1540,1540
Oriente,2005,Concepción,108,100,100
Suroeste,2005,Concordia,5923,4870,12778.9
Valle de Aburra,2005,Copacabana,142,142,99.4
Occidente,2005,Dabeiba,1882,1882,1882
Norte,2005,Don Matías,209,209,261.3
Occidente,2005,Ebéjico,2035,2035,2238.5
Oriente,2005,El Carmen De Viboral,470,460,328.9
Oriente,2005,El Peñol,480,400,560
Oriente,2005,El Retiro,277,267.5,334.6
Suroeste,2005,Fredonia,2780,2000,2600
Occidente,2005,Frontino,1260,1212,1212
Occidente,2005,Giraldo,573,543,515.9
Valle de Aburra,2005,Girardota,480,450,675
Norte,2005,Gómez Plata,730,675,1012.5
Oriente,2005,Granada,1650,1620,1620
Norte,2005,Guadalupe,470,440,495
Oriente,2005,Guatapé,45.1,39.3,75.1
Occidente,2005,Heliconia,1264,960,864
Suroeste,2005,Hispania,1951,676.5,676.5
Norte,2005,Ituango,3283,3283,3283
Suroeste,2005,Jardín,2348.6,2233.6,4020.5
Suroeste,2005,Jericó,2091,1971,3547.8
Oriente,2005,La Ceja,582,520,676
Valle de Aburra,2005,La Estrella,121.5,121.5,218.7
Occidente,2005,Liborina,1250,1225,1347.5
Magdalena Medio,2005,Maceo,243,233,104.9
Valle de Aburra,2005,Medellín,1078,1027,1232.4
Suroeste,2005,Montebello,2037,1731,2423.4
Oriente,2005,Nariño,2700,2400,2400
Occidente,2005,Olaya,315,288,385.9
Occidente,2005,Peque,997.6,967.6,1149.5
Suroeste,2005,Pueblorrico,1624,1534,1917.5
Occidente,2005,Sabanalarga,1087.4,959.6,926
Valle de Aburra,2005,Sabaneta,10,10,8
Suroeste,2005,Salgar,5945.4,5159,10318
Norte,2005,San Andrés De Cuerquia,927,887,887
Oriente,2005,San Carlos,1627,1500,1350
Oriente,2005,San Francisco,540,250,219
Occidente,2005,San Jerónimo,622,622,528.7
Oriente,2005,San Luis,330,300,165
Oriente,2005,San Rafael,1473,1353,1353
Nordeste,2005,San Roque,1192,1041,1041
Suroeste,2005,Santa Bárbara,2269,2116,2380.5
Occidente,2005,Santa Fe De Antioquia,1500,1500,1875
Norte,2005,Santa Rosa De Osos,610,610,1220
Nordeste,2005,Santo Domingo,1350,1278,1405.8
Oriente,2005,Sonsón,3499,3494,4192.8
Occidente,2005,Sopetrán,1005,956,1195
Suroeste,2005,Támesis,2359,2246,3256.7
Suroeste,2005,Tarso,1359,1144,1716
Suroeste,2005,Titiribí,783,757,908.4
Norte,2005,Toledo,978.5,772.3,1297.5
Occidente,2005,Uramita,1206,1199,563.5
Suroeste,2005,Urrao,1100,998,998
Suroeste,2005,Valparaiso,871,836,1212.2
Nordeste,2005,Vegachí,530,520,780
Suroeste,2005,Venecia,479,348,452.4
Nordeste,2005,Yalí,198,188,141
Norte,2005,Yarumal,424,376,470
Nordeste,2005,Yolombó,1600,1600,960
Oriente,2006,Abejorral,4222.27,3911.18,2385.82
Occidente,2006,Abriaquí,117.84,117.84,72.24
Oriente,2006,Alejandría,738.61,738.61,738.61
Suroeste,2006,Amagá,992.44,992.44,1280.25
Nordeste,2006,Amalfi,1591.98,1526.51,2289.77
Suroeste,2006,Andes,9412.95,7856.09,21997.04
Suroeste,2006,Angelópolis,559.08,467.76,748.42
Norte,2006,Angostura,1013.76,1013.76,1013.76
Nordeste,2006,Anorí,245.36,243.02,273.4
Occidente,2006,Anzá,1346.74,1323.98,1337.22
Oriente,2006,Argelia,1912.12,1487.2,1487.2
Occidente,2006,Armenia,776.72,673.57,757.76
Valle de Aburra,2006,Barbosa,1219.55,1187.85,1484.81
Valle de Aburra,2006,Bello,177.71,177.71,159.94
Suroeste,2006,Betania,5741.74,5728.86,8254.14
Suroeste,2006,Betulia,4866.44,4491.85,10780.44
Norte,2006,Briceño,532.28,532.28,266.14
Occidente,2006,Buriticá,856.1,856.1,719.12
Occidente,2006,Caicedo,1278.8,1272.24,1272.24
Valle de Aburra,2006,Caldas,207.67,202.35,364.23
Norte,2006,Campamento,223.89,197.02,167.47
Occidente,2006,Cañasgordas,2464.22,2404.59,1442.76
Magdalena Medio,2006,Caracolí,46.66,43.99,21.12
Suroeste,2006,Caramanta,1041.07,945.1,949.83
Nordeste,2006,Cisneros,181.68,181.68,181.68
Suroeste,2006,Ciudad Bolívar,9232.27,6923.67,13847.35
Oriente,2006,Cocorná,1512.67,1483.77,1483.77
Oriente,2006,Concepción,154.57,143.12,143.12
Suroeste,2006,Concordia,6085.78,5003.84,13130.08
Valle de Aburra,2006,Copacabana,206.73,206.73,144.71
Occidente,2006,Dabeiba,1936.73,1936.73,1936.73
Norte,2006,Don Matías,227.61,227.61,284.51
Occidente,2006,Ebéjico,1938.75,1938.75,2132.62
Oriente,2006,El Carmen De Viboral,364.24,356.49,254.89
Oriente,2006,El Peñol,391.51,326.26,456.76
Oriente,2006,El Retiro,234.6,226.55,283.42
Suroeste,2006,Fredonia,2518.06,1811.55,2355.02
Occidente,2006,Frontino,1147.01,1103.31,1103.31
Occidente,2006,Giraldo,610.32,578.37,549.45
Valle de Aburra,2006,Girardota,378.8,355.12,532.69
Norte,2006,Gómez Plata,699.19,646.51,969.77
Oriente,2006,Granada,965.95,948.39,948.39
Norte,2006,Guadalupe,534.3,500.2,562.72
Oriente,2006,Guatapé,40.56,35.34,67.58
Occidente,2006,Heliconia,1150.63,873.9,786.51
Suroeste,2006,Hispania,878.05,304.46,304.46
Norte,2006,Ituango,3067.26,3067.26,3067.26
Suroeste,2006,Jardín,2416,2297.7,4135.86
Suroeste,2006,Jericó,1974.87,1861.53,3350.76
Oriente,2006,La Ceja,556.18,496.93,646.01
Valle de Aburra,2006,La Estrella,49.46,49.46,39.57
Occidente,2006,Liborina,1327.15,1300.61,1430.67
Magdalena Medio,2006,Maceo,241.98,232.02,104.41
Valle de Aburra,2006,Medellín,825.6,786.54,943.85
Suroeste,2006,Montebello,1919.59,1631.23,2283.72
Oriente,2006,Nariño,2452.31,2179.83,2179.83
Occidente,2006,Olaya,301.41,275.57,369.27
Occidente,2006,Peque,1017.28,986.69,1172.19
Suroeste,2006,Pueblorrico,1713.77,1618.8,2023.49
Occidente,2006,Sabanalarga,1124.09,991.98,957.26
Valle de Aburra,2006,Sabaneta,137.04,137.04,246.67
Suroeste,2006,Salgar,6010.99,5215.91,10431.83
Norte,2006,San Andrés De Cuerquia,838.46,802.28,802.28
Oriente,2006,San Carlos,1811.19,1669.81,1502.83
Oriente,2006,San Francisco,476.38,220.55,193.2
Occidente,2006,San Jerónimo,589.45,589.45,501.03
Oriente,2006,San Luis,369.31,335.74,184.66
Oriente,2006,San Rafael,1260.11,1157.45,1157.45
Nordeste,2006,San Roque,1163.44,1016.06,1016.06
Suroeste,2006,Santa Bárbara,2652.38,2473.53,2782.72
Occidente,2006,Santa Fe De Antioquia,1528.39,1528.39,1910.49
Norte,2006,Santa Rosa De Osos,588.87,588.87,1177.74
Nordeste,2006,Santo Domingo,1333.38,1262.27,1388.49
Oriente,2006,Sonsón,3708.76,3703.46,4444.15
Occidente,2006,Sopetrán,998,949.34,1186.68
Suroeste,2006,Támesis,2223.93,2117.4,3070.23
Suroeste,2006,Tarso,1114.72,938.37,1407.55
Suroeste,2006,Titiribí,635.01,613.92,736.71
Norte,2006,Toledo,972.64,767.67,1289.69
Occidente,2006,Uramita,765.45,761.01,357.67
Suroeste,2006,Urrao,1124.17,1019.93,1019.93
Suroeste,2006,Valparaiso,627.97,602.74,873.97
Nordeste,2006,Vegachí,438.32,430.05,645.07
Suroeste,2006,Venecia,717.55,521.31,677.7
Nordeste,2006,Yalí,385.86,366.37,274.78
Norte,2006,Yarumal,408.3,362.08,452.6
Nordeste,2006,Yolombó,1748.82,1748.82,1049.29
Oriente,2007,Abejorral,4066.7,3818.7,2329.4
Occidente,2007,Abriaquí,135,135,81
Oriente,2007,Alejandría,738.6,732.6,732.6
Suroeste,2007,Amagá,1085,1080,1080
Nordeste,2007,Amalfi,1552,1432,1439.2
Suroeste,2007,Andes,8696,8484,13574.4
Suroeste,2007,Angelópolis,600,600,960
Norte,2007,Angostura,1240,1180,1180
Nordeste,2007,Anorí,214,194,217.3
Occidente,2007,Anzá,1200,1140,1311
Oriente,2007,Argelia,1800,1800,1800
Occidente,2007,Armenia,787.7,768.7,864.8
Valle de Aburra,2007,Barbosa,1130.8,711,924.3
Valle de Aburra,2007,Bello,208,202,181.8
Suroeste,2007,Betania,5439.4,5439.4,7832.7
Suroeste,2007,Betulia,4845,4532,9653.2
Norte,2007,Briceño,310,60,52.8
Occidente,2007,Buriticá,906.1,856.1,719.1
Occidente,2007,Caicedo,1299,1195.3,1793
Valle de Aburra,2007,Caldas,230,230,414
Norte,2007,Campamento,250,248,225.7
Occidente,2007,Cañasgordas,2545,2447,1174.6
Magdalena Medio,2007,Caracolí,35,35,16.8
Suroeste,2007,Caramanta,1089,1039,1662.4
Nordeste,2007,Cisneros,259,231,231
Suroeste,2007,Ciudad Bolívar,9680,8510,15913.7
Oriente,2007,Cocorná,1510,1473,1473
Oriente,2007,Concepción,154.6,154.6,154.6
Suroeste,2007,Concordia,5578,5012,13181.6
Valle de Aburra,2007,Copacabana,142,142,99.4
Occidente,2007,Dabeiba,2000,1864,1864
Norte,2007,Don Matías,174,170,212.5
Occidente,2007,Ebéjico,2015,1200,1344
Oriente,2007,El Carmen De Viboral,470,470,329
Oriente,2007,El Peñol,480,480,672
Oriente,2007,El Retiro,277,235.5,306.2
Suroeste,2007,Fredonia,2497,2197,2856.1
Occidente,2007,Frontino,1260,1260,1260
Occidente,2007,Giraldo,659,582,698.4
Valle de Aburra,2007,Girardota,378.8,378.8,568.2
Norte,2007,Gómez Plata,754.5,690.5,776.8
Oriente,2007,Granada,926.3,853,639.8
Norte,2007,Guadalupe,622.4,577,519.3
Oriente,2007,Guatapé,45,45,85.5
Occidente,2007,Heliconia,1264,960,864
Suroeste,2007,Hispania,1951,1951,1951
Valle de Aburra,2007,Itagui,26.7,26.7,53.4
Norte,2007,Ituango,3067,2873,4309.5
Suroeste,2007,Jardín,2348,2348,4226.4
Suroeste,2007,Jericó,2000,1810,2244.4
Oriente,2007,La Ceja,587,559.3,727.1
Valle de Aburra,2007,La Estrella,53,47,37.6
Occidente,2007,Liborina,1250,1250,1375
Magdalena Medio,2007,Maceo,243,243,109.4
Oriente,2007,Marinilla,15,12,12
Valle de Aburra,2007,Medellín,1078,1027,821.6
Suroeste,2007,Montebello,1510,1450,1450
Oriente,2007,Nariño,2973,2653,4642.8
Occidente,2007,Olaya,310,270,116.5
Occidente,2007,Peque,1233,909,1045.4
Suroeste,2007,Pueblorrico,1623,1430,3575
Occidente,2007,Sabanalarga,1105.4,1095.5,1057.2
Valle de Aburra,2007,Sabaneta,151,121,217.8
Suroeste,2007,Salgar,6011,4200,8400
Norte,2007,San Andrés De Cuerquia,739.3,625.6,508
Oriente,2007,San Carlos,1627,1627,1464.3
Oriente,2007,San Francisco,476,476,417
Occidente,2007,San Jerónimo,657,622,528.7
Oriente,2007,San Luis,330,320,176
Oriente,2007,San Rafael,1260,1260,1260
Nordeste,2007,San Roque,1151.4,1071.6,1093
Suroeste,2007,Santa Bárbara,1400,600,675
Occidente,2007,Santa Fe De Antioquia,1524,1407,2096.4
Norte,2007,Santa Rosa De Osos,610,610,1220
Nordeste,2007,Santo Domingo,1334,1249,1498.8
Oriente,2007,Sonsón,3660,3000,3600
Occidente,2007,Sopetrán,1038.2,978,1173.6
Suroeste,2007,Támesis,2657,1519,1701.9
Suroeste,2007,Tarso,1041,951,1902
Suroeste,2007,Titiribí,613,569,779.5
Norte,2007,Toledo,1795,1232,2069.8
Occidente,2007,Uramita,1206,1176,729.1
Suroeste,2007,Urrao,1145,1030,1030
Suroeste,2007,Valparaiso,721,660,1234.2
Nordeste,2007,Vegachí,530,516,619.2
Suroeste,2007,Venecia,711,653,586.3
Nordeste,2007,Yalí,218,128,64
Norte,2007,Yarumal,403.9,350,350
Nordeste,2007,Yolombó,1800,1700,1360
Oriente,2008,Abejorral,4180,3956,2223.3
Occidente,2008,Abriaquí,137.3,131.8,89.6
Oriente,2008,Alejandría,752.5,705.5,705.5
Suroeste,2008,Amagá,671.8,577.8,346.7
Nordeste,2008,Amalfi,1695,1392,1304.3
Suroeste,2008,Andes,8696,8484,13574.4
Suroeste,2008,Angelópolis,630,497,795.2
Norte,2008,Angostura,1240,1180,1180
Nordeste,2008,Anorí,234,234,262.1
Occidente,2008,Anzá,1436,1100,1012
Oriente,2008,Argelia,2003,1793,1075.8
Occidente,2008,Armenia,787.7,787.7,886.2
Valle de Aburra,2008,Barbosa,1443,1287.2,1293.6
Valle de Aburra,2008,Bello,208,208,187.2
Suroeste,2008,Betania,6700,6290,5346.5
Suroeste,2008,Betulia,5156,4771,6822.5
Norte,2008,Briceño,576.6,445,413.9
Occidente,2008,Buriticá,916,816,507.6
Occidente,2008,Caicedo,1378,1220,1830
Valle de Aburra,2008,Caldas,230,220,242
Norte,2008,Campamento,235,223,202.9
Occidente,2008,Cañasgordas,2560,2397,958.8
Magdalena Medio,2008,Caracolí,37,35,16.8
Suroeste,2008,Caramanta,1096,1081,1729.6
Nordeste,2008,Cisneros,280,265,265
Suroeste,2008,Ciudad Bolívar,9880,7100,10295
Oriente,2008,Cocorná,1459,1419,794.6
Oriente,2008,Concepción,115,98,196
Suroeste,2008,Concordia,5608,5148,8236.8
Valle de Aburra,2008,Copacabana,142,140,98
Occidente,2008,Dabeiba,2034,1864,1491.2
Norte,2008,Don Matías,177,155,193.8
Occidente,2008,Ebéjico,2105,2025,1417.5
Oriente,2008,El Carmen De Viboral,470,470,329
Oriente,2008,El Peñol,421,398.9,398.9
Oriente,2008,El Retiro,237.2,225.4,293
Suroeste,2008,Fredonia,2762,2527,2527
Occidente,2008,Frontino,1270,1135,794.5
Occidente,2008,Giraldo,700,590,708
Valle de Aburra,2008,Girardota,411,368,552
Norte,2008,Gómez Plata,787,587,645.7
Oriente,2008,Granada,997,960,518.4
Norte,2008,Guadalupe,1267,1195,1015.8
Oriente,2008,Guatapé,45,45,59.9
Occidente,2008,Heliconia,1264,1264,1137.6
Suroeste,2008,Hispania,659.5,591,561.5
Norte,2008,Ituango,3097,2703,2205.6
Suroeste,2008,Jardín,2408,2055,3596.3
Suroeste,2008,Jericó,1911,1389,1722.4
Oriente,2008,La Ceja,488.8,441,661.5
Valle de Aburra,2008,La Estrella,76,76,60.8
Occidente,2008,Liborina,1313,1180,899.2
Magdalena Medio,2008,Maceo,263,233,139.8
Oriente,2008,Marinilla,15,15,15
Valle de Aburra,2008,Medellín,1078,1027,821.6
Suroeste,2008,Montebello,1910,1340,1340
Oriente,2008,Nariño,2976,2815,3378
Occidente,2008,Olaya,354,290,217.5
Occidente,2008,Peque,1365,1227,1104.3
Suroeste,2008,Pueblorrico,1640,1324,2383.2
Occidente,2008,Sabanalarga,1205,1190,1142.4
Valle de Aburra,2008,Sabaneta,134.5,129.5,194.3
Suroeste,2008,Salgar,6520,5529,8846.4
Norte,2008,San Andrés De Cuerquia,739.3,627.6,509.6
Oriente,2008,San Carlos,1783,1751,875.5
Oriente,2008,San Francisco,476,476,417
Occidente,2008,San Jerónimo,648,620,465
Oriente,2008,San Luis,330,302,181.2
Oriente,2008,San Rafael,1308.5,1190,817.5
Nordeste,2008,San Roque,1155,1119,1141.4
Suroeste,2008,Santa Bárbara,1770,1050,1575
Occidente,2008,Santa Fe De Antioquia,1564,1407,2096.4
Norte,2008,Santa Rosa De Osos,620,610,488
Nordeste,2008,Santo Domingo,1339,1124,1348.8
Oriente,2008,Sonsón,3580,3455,4146
Occidente,2008,Sopetrán,982,938,750.4
Suroeste,2008,Támesis,2645,1900,2565
Suroeste,2008,Tarso,1060,874,1748
Suroeste,2008,Titiribí,581,526,499.7
Norte,2008,Toledo,338,128,128
Occidente,2008,Uramita,1206,1176,729.1
Suroeste,2008,Urrao,1125,1125,1125
Suroeste,2008,Valparaiso,654,583,1090.2
Nordeste,2008,Vegachí,396,354,283.2
Suroeste,2008,Venecia,690,554,765.1
Nordeste,2008,Yalí,253,158,79
Norte,2008,Yarumal,275.4,258.6,323.3
Nordeste,2008,Yolombó,1768,1622,1527.9
Oriente,2009,Abejorral,4180.5,3956.5,2223.6
Occidente,2009,Abriaquí,132.8,128.3,86
Oriente,2009,Alejandría,749.5,716.5,358.3
Suroeste,2009,Amagá,671.3,552.7,718.5
Nordeste,2009,Amalfi,1600,1270,1143
Suroeste,2009,Andes,8708,8496,13593.6
Suroeste,2009,Angelópolis,607,587,293.5
Norte,2009,Angostura,1240,1180,1180
Nordeste,2009,Anorí,244,234,262.1
Occidente,2009,Anzá,1436,1236,506.8
Oriente,2009,Argelia,2115,1843,1382.3
Occidente,2009,Armenia,787.7,787.7,886.2
Valle de Aburra,2009,Barbosa,1455,1403,1410
Valle de Aburra,2009,Bello,211,208,187.2
Suroeste,2009,Betania,6750,6550,8187.5
Suroeste,2009,Betulia,5470,4396,5275.2
Norte,2009,Briceño,611.6,411,493.2
Occidente,2009,Buriticá,879,749,465.9
Occidente,2009,Caicedo,1378,1303,1954.5
Valle de Aburra,2009,Caldas,230,220,264
Norte,2009,Campamento,281,209,146.3
Occidente,2009,Cañasgordas,2560,2270,1271.2
Magdalena Medio,2009,Caracolí,40,37,17.8
Suroeste,2009,Caramanta,1456,1081,1729.6
Nordeste,2009,Cisneros,250,220,132
Suroeste,2009,Ciudad Bolívar,9942,6830,9562
Oriente,2009,Cocorná,1386,1264,758.4
Oriente,2009,Concepción,115,59,88.5
Suroeste,2009,Concordia,5659.3,4250.8,6376.2
Valle de Aburra,2009,Copacabana,142,140,98
Occidente,2009,Dabeiba,2034,1868,1307.6
Norte,2009,Don Matías,177,177,221.3
Occidente,2009,Ebéjico,2105,2025,1417.5
Oriente,2009,El Carmen De Viboral,470,415,249
Oriente,2009,El Peñol,445.9,401.5,481.8
Oriente,2009,El Retiro,259.2,232.2,139.3
Suroeste,2009,Fredonia,2149.5,1862.4,2793.6
Occidente,2009,Frontino,898,815,529.8
Occidente,2009,Giraldo,727,692,643.6
Valle de Aburra,2009,Girardota,411,396,594
Norte,2009,Gómez Plata,795,706,776.6
Oriente,2009,Granada,997,907,489.8
Norte,2009,Guadalupe,1267,1215,1032.8
Oriente,2009,Guatapé,50,45,29.7
Occidente,2009,Heliconia,1264.8,1254,1128.6
Suroeste,2009,Hispania,659.5,491,441.9
Norte,2009,Ituango,3106,2866,1920.2
Suroeste,2009,Jardín,2392,2075,2490
Suroeste,2009,Jericó,1914,1803,1262.1
Oriente,2009,La Ceja,527.8,443.2,660.4
Valle de Aburra,2009,La Estrella,66,66,52.8
Occidente,2009,Liborina,1402,1256,678.2
Magdalena Medio,2009,Maceo,273,243,145.8
Oriente,2009,Marinilla,15,15,15
Valle de Aburra,2009,Medellín,1078,1027,821.6
Suroeste,2009,Montebello,1910,1450,1160
Oriente,2009,Nariño,3032,2724,2043
Occidente,2009,Olaya,354,336,168
Occidente,2009,Peque,1289,1215,729
Suroeste,2009,Pueblorrico,1613,1207.9,1570.3
Occidente,2009,Sabanalarga,1211,879,1318.5
Valle de Aburra,2009,Sabaneta,118.5,110.5,165.8
Suroeste,2009,Salgar,6554,5420,8672
Norte,2009,San Andrés De Cuerquia,985.2,613.8,409.4
Oriente,2009,San Carlos,1726.5,1540,1339.8
Oriente,2009,San Francisco,496,371,333.9
Occidente,2009,San Jerónimo,618,546,382.2
Oriente,2009,San Luis,355,330,198
Oriente,2009,San Rafael,1308.5,1143.5,543.2
Nordeste,2009,San Roque,1155.8,1034.6,982.9
Suroeste,2009,Santa Bárbara,2765,2465,3697.5
Occidente,2009,Santa Fe De Antioquia,1810,1590,2305.5
Norte,2009,Santa Rosa De Osos,638,593,1067.4
Nordeste,2009,Santo Domingo,1340.5,1212,1090.8
Oriente,2009,Sonsón,3430,2970,2970
Occidente,2009,Sopetrán,985,924,646.8
Suroeste,2009,Támesis,2825,2231,2788.8
Suroeste,2009,Tarso,1038.5,847,1101.1
Suroeste,2009,Titiribí,567,490,539
Norte,2009,Toledo,336,94,117.5
Occidente,2009,Uramita,1206,1171,936.8
Suroeste,2009,Urrao,1145,1099,659.4
Norte,2009,Valdivia,20,0,0
Suroeste,2009,Valparaiso,498,452,723.2
Nordeste,2009,Vegachí,461,350,175
Suroeste,2009,Venecia,683.8,603.7,920.6
Nordeste,2009,Yalí,283,228,114
Norte,2009,Yarumal,303.4,268.4,295.2
Nordeste,2009,Yolombó,1878,1717,1394.2
Oriente,2010,Abejorral,4052,3665,2528.9
Occidente,2010,Abriaquí,145.8,129.8,87
Oriente,2010,Alejandría,749.5,581.5,872.3
Suroeste,2010,Amagá,674.3,585.1,760.6
Nordeste,2010,Amalfi,1801,1517.5,1365.8
Suroeste,2010,Andes,8713,8398,13436.8
Suroeste,2010,Angelópolis,622,577,288.5
Norte,2010,Angostura,1310,1170,1170
Nordeste,2010,Anorí,294,234,257.4
Occidente,2010,Anzá,1530,956,430.2
Oriente,2010,Argelia,2100,1768,990.1
Occidente,2010,Armenia,787.7,787.7,886.2
Valle de Aburra,2010,Barbosa,1505.5,1367,3827.6
Valle de Aburra,2010,Bello,211,208,187.2
Suroeste,2010,Betania,6796,6346,7932.5
Suroeste,2010,Betulia,5610,4636,10431
Norte,2010,Briceño,681.6,505.6,1137.6
Occidente,2010,Buriticá,881,823,1152.2
Occidente,2010,Caicedo,1388,968,464.6
Valle de Aburra,2010,Caldas,236,188,225.6
Norte,2010,Campamento,289,211,232.1
Occidente,2010,Cañasgordas,2525,2222,1666.5
Magdalena Medio,2010,Caracolí,40,28,14
Suroeste,2010,Caramanta,1506,1026,1026
Norte,2010,Carolina,3,1,1.2
Nordeste,2010,Cisneros,246,236,141.6
Suroeste,2010,Ciudad Bolívar,10142,7040,10560
Oriente,2010,Cocorná,1428,1248,748.8
Oriente,2010,Concepción,143,121,151.3
Suroeste,2010,Concordia,6488,4845.5,10902.4
Valle de Aburra,2010,Copacabana,142,90,63
Occidente,2010,Dabeiba,2039,2019,1413.3
Norte,2010,Don Matías,182,169,147.9
Occidente,2010,Ebéjico,2105,2105,1473.5
Oriente,2010,El Carmen De Viboral,365,285,171
Oriente,2010,El Peñol,508.9,422.9,507.5
Oriente,2010,El Retiro,264.2,212.2,318.3
Suroeste,2010,Fredonia,2284.5,2115.9,3385.4
Occidente,2010,Frontino,938,720,1080
Occidente,2010,Giraldo,797,699,650.1
Valle de Aburra,2010,Girardota,412,403,604.5
Norte,2010,Gómez Plata,818,665,731.5
Oriente,2010,Granada,987,897,224.3
Oriente,2010,Guatapé,50,45,29.7
Occidente,2010,Heliconia,1239.8,1189.1,2197.1
Suroeste,2010,Hispania,664.5,495.5,991
Norte,2010,Ituango,3159.5,2751,2696
Suroeste,2010,Jardín,2256,1513,2420.8
Suroeste,2010,Jericó,1917,1693,2539.5
Oriente,2010,La Ceja,453.5,303.2,424.5
Valle de Aburra,2010,La Estrella,56,56,44.8
Occidente,2010,Liborina,1551,1300,1625
Magdalena Medio,2010,Maceo,283,263,157.8
Oriente,2010,Marinilla,20,15,15
Valle de Aburra,2010,Medellín,1078,1078,862.4
Suroeste,2010,Montebello,1910,1850,1480
Oriente,2010,Nariño,2964,2826,5989.7
Occidente,2010,Olaya,359,321,256.8
Occidente,2010,Peque,1459,1179,1253.3
Suroeste,2010,Pueblorrico,1613.1,1307.8,1634.8
Occidente,2010,Sabanalarga,1396,535,668.8
Valle de Aburra,2010,Sabaneta,116.5,105.5,158.3
Suroeste,2010,Salgar,6812,5070,9633
Norte,2010,San Andrés De Cuerquia,977.2,501.3,441.1
Oriente,2010,San Carlos,1922,1726,1501.6
Oriente,2010,San Francisco,65,40,40
Occidente,2010,San Jerónimo,621,515,1030
Oriente,2010,San Rafael,1108.5,1018.5,483.8
Nordeste,2010,San Roque,1129.9,935,888.3
Suroeste,2010,Santa Bárbara,2665,2665,3997.5
Occidente,2010,Santa Fe De Antioquia,1810,1810,2624.5
Norte,2010,Santa Rosa De Osos,702,240,338.4
Nordeste,2010,Santo Domingo,1407.5,1226,1103.4
Oriente,2010,Sonsón,3410,2530,2530
Occidente,2010,Sopetrán,1005,886,1063.2
Suroeste,2010,Támesis,2823,2083,2707.9
Suroeste,2010,Tarso,1053.5,800,1680
Suroeste,2010,Titiribí,568,482.5,627.3
