Id,Name,Value,Date
Embalse,AMANI,0.29951,2024-03-18
Embalse,BETANIA,0.73144,2024-03-18
Embalse,CALIMA1,0.50089,2024-03-18
Embalse,CHUZA,0.19022,2024-03-18
Embalse,EL QUIMBO,0.23076,2024-03-18
Embalse,ESMERALDA,0.23146,2024-03-18
Embalse,GUAVIO,0.10356,2024-03-18
Embalse,ITUANGO,0.09984,2024-03-18
Embalse,MIRAFLORES,0.23228,2024-03-18
Embalse,MUNA,0.31841,2024-03-18
Embalse,PENOL,0.4184,2024-03-18
Embalse,PLAYAS,0.98934,2024-03-18
Embalse,PORCE II,0.35631,2024-03-18
Embalse,PORCE III,0.57815,2024-03-18
Embalse,PRADO,0.24069,2024-03-18
Embalse,PUNCHINA,0.43852,2024-03-18
Embalse,RIOGRANDE2,0.15899,2024-03-18
Embalse,SALVAJINA,0.32645,2024-03-18
Embalse,SAN LORENZO,0.22859,2024-03-18
Embalse,TOPOCORO,0.2853,2024-03-18
Embalse,TRONERAS,0.15792,2024-03-18
Embalse,URRA1,0.54302,2024-03-18
Embalse,AGREGADO BOGOTA,0.55426,2024-03-19
Embalse,ALTOANCHICAYA,0.0577,2024-03-19
Embalse,AMANI,0.29161,2024-03-19
Embalse,BETANIA,0.72029,2024-03-19
Embalse,CALIMA1,0.50049,2024-03-19
Embalse,CHUZA,0.18767,2024-03-19
Embalse,EL QUIMBO,0.22492,2024-03-19
Embalse,ESMERALDA,0.22955,2024-03-19
Embalse,GUAVIO,0.09965,2024-03-19
Embalse,ITUANGO,0.10805,2024-03-19
Embalse,MIRAFLORES,0.22382,2024-03-19
Embalse,MUNA,0.30389,2024-03-19
Embalse,PENOL,0.41372,2024-03-19
Embalse,PLAYAS,0.98401,2024-03-19
Embalse,PORCE II,0.39967,2024-03-19
Embalse,PORCE III,0.45589,2024-03-19
Embalse,PRADO,0.24116,2024-03-19
Embalse,PUNCHINA,0.41917,2024-03-19
Embalse,RIOGRANDE2,0.13832,2024-03-19
Embalse,SALVAJINA,0.32045,2024-03-19
Embalse,SAN LORENZO,0.22977,2024-03-19
Embalse,TOPOCORO,0.27665,2024-03-19
Embalse,TRONERAS,0.26521,2024-03-19
Embalse,URRA1,0.53834,2024-03-19
Embalse,AGREGADO BOGOTA,0.55352,2024-03-20
Embalse,ALTOANCHICAYA,0.05864,2024-03-20
Embalse,AMANI,0.29521,2024-03-20
Embalse,BETANIA,0.72029,2024-03-20
Embalse,CALIMA1,0.50127,2024-03-20
Embalse,CHUZA,0.18538,2024-03-20
Embalse,EL QUIMBO,0.21914,2024-03-20
Embalse,ESMERALDA,0.22416,2024-03-20
Embalse,GUAVIO,0.09132,2024-03-20
Embalse,ITUANGO,0.11468,2024-03-20
Embalse,MIRAFLORES,0.21543,2024-03-20
Embalse,MUNA,0.36253,2024-03-20
Embalse,PENOL,0.40813,2024-03-20
Embalse,PLAYAS,0.90658,2024-03-20
Embalse,PORCE II,0.36789,2024-03-20
Embalse,PORCE III,0.54745,2024-03-20
Embalse,PRADO,0.23875,2024-03-20
Embalse,PUNCHINA,0.34426,2024-03-20
Embalse,RIOGRANDE2,0.11781,2024-03-20
Embalse,SALVAJINA,0.31566,2024-03-20
Embalse,SAN LORENZO,0.23751,2024-03-20
Embalse,TOPOCORO,0.26462,2024-03-20
Embalse,TRONERAS,0.16125,2024-03-20
Embalse,URRA1,0.53684,2024-03-20
Embalse,AGREGADO BOGOTA,0.55282,2024-03-21
Embalse,ALTOANCHICAYA,0.0209,2024-03-21
Embalse,AMANI,0.29425,2024-03-21
Embalse,BETANIA,0.71964,2024-03-21
Embalse,CALIMA1,0.5028,2024-03-21
Embalse,CHUZA,0.18234,2024-03-21
Embalse,EL QUIMBO,0.21536,2024-03-21
Embalse,ESMERALDA,0.20762,2024-03-21
Embalse,GUAVIO,0.08417,2024-03-21
Embalse,ITUANGO,0.12074,2024-03-21
Embalse,MIRAFLORES,0.20777,2024-03-21
Embalse,MUNA,0.59886,2024-03-21
Embalse,PENOL,0.4028,2024-03-21
Embalse,PLAYAS,0.82661,2024-03-21
Embalse,PORCE II,0.4453,2024-03-21
Embalse,PORCE III,0.41857,2024-03-21
Embalse,PRADO,0.24456,2024-03-21
Embalse,PUNCHINA,0.35178,2024-03-21
Embalse,RIOGRANDE2,0.11128,2024-03-21
Embalse,SALVAJINA,0.31204,2024-03-21
Embalse,SAN LORENZO,0.24382,2024-03-21
Embalse,TOPOCORO,0.2523,2024-03-21
Embalse,TRONERAS,0.3074,2024-03-21
Embalse,URRA1,0.53574,2024-03-21
Embalse,AGREGADO BOGOTA,0.55228,2024-03-22
Embalse,AMANI,0.29687,2024-03-22
Embalse,BETANIA,0.69892,2024-03-22
Embalse,CALIMA1,0.5032,2024-03-22
Embalse,CHUZA,0.17957,2024-03-22
Embalse,EL QUIMBO,0.20895,2024-03-22
Embalse,ESMERALDA,0.20476,2024-03-22
Embalse,GUAVIO,0.07666,2024-03-22
Embalse,ITUANGO,0.12541,2024-03-22
Embalse,MIRAFLORES,0.19946,2024-03-22
Embalse,MUNA,0.6811,2024-03-22
Embalse,PENOL,0.39694,2024-03-22
Embalse,PLAYAS,0.75023,2024-03-22
Embalse,PORCE II,0.50226,2024-03-22
Embalse,PORCE III,0.27692,2024-03-22
Embalse,PRADO,0.24262,2024-03-22
Embalse,PUNCHINA,0.36088,2024-03-22
Embalse,RIOGRANDE2,0.09929,2024-03-22
Embalse,SALVAJINA,0.30921,2024-03-22
Embalse,SAN LORENZO,0.24847,2024-03-22
Embalse,TOPOCORO,0.24091,2024-03-22
Embalse,TRONERAS,0.43786,2024-03-22
Embalse,URRA1,0.52784,2024-03-22
Embalse,AGREGADO BOGOTA,0.55154,2024-03-23
Embalse,AMANI,0.30377,2024-03-23
Embalse,BETANIA,0.68672,2024-03-23
Embalse,CALIMA1,0.50358,2024-03-23
Embalse,CHUZA,0.17656,2024-03-23
Embalse,EL QUIMBO,0.20664,2024-03-23
Embalse,ESMERALDA,0.19219,2024-03-23
Embalse,GUAVIO,0.07952,2024-03-23
Embalse,ITUANGO,0.12989,2024-03-23
Embalse,MIRAFLORES,0.191,2024-03-23
Embalse,MUNA,0.5717,2024-03-23
Embalse,PENOL,0.39076,2024-03-23
Embalse,PLAYAS,0.68149,2024-03-23
Embalse,PORCE II,0.55675,2024-03-23
Embalse,PORCE III,0.31497,2024-03-23
Embalse,PRADO,0.24069,2024-03-23
Embalse,PUNCHINA,0.3964,2024-03-23
Embalse,RIOGRANDE2,0.08791,2024-03-23
Embalse,SALVAJINA,0.30318,2024-03-23
Embalse,SAN LORENZO,0.25107,2024-03-23
Embalse,TOPOCORO,0.22798,2024-03-23
Embalse,TRONERAS,0.29177,2024-03-23
Embalse,URRA1,0.52022,2024-03-23
Embalse,AGREGADO BOGOTA,0.55075,2024-03-24
Embalse,ALTOANCHICAYA,0.03026,2024-03-24
Embalse,AMANI,0.30833,2024-03-24
Embalse,BETANIA,0.66635,2024-03-24
Embalse,CALIMA1,0.50395,2024-03-24
Embalse,CHUZA,0.17382,2024-03-24
Embalse,EL QUIMBO,0.20417,2024-03-24
Embalse,ESMERALDA,0.18888,2024-03-24
Embalse,GUAVIO,0.08143,2024-03-24
Embalse,ITUANGO,0.1321,2024-03-24
Embalse,MIRAFLORES,0.18269,2024-03-24
Embalse,MUNA,0.42385,2024-03-24
Embalse,PENOL,0.38483,2024-03-24
Embalse,PLAYAS,0.702,2024-03-24
Embalse,PORCE II,0.47098,2024-03-24
Embalse,PORCE III,0.40286,2024-03-24
Embalse,PRADO,0.23973,2024-03-24
Embalse,PUNCHINA,0.40301,2024-03-24
Embalse,RIOGRANDE2,0.07709,2024-03-24
Embalse,SALVAJINA,0.30001,2024-03-24
Embalse,SAN LORENZO,0.22581,2024-03-24
Embalse,TOPOCORO,0.21632,2024-03-24
Embalse,TRONERAS,0.4238,2024-03-24
Embalse,URRA1,0.51207,2024-03-24
Embalse,AGREGADO BOGOTA,0.54965,2024-03-25
Embalse,ALTOANCHICAYA,0.06706,2024-03-25
Embalse,AMANI,0.31069,2024-03-25
Embalse,BETANIA,0.63802,2024-03-25
Embalse,CALIMA1,0.50551,2024-03-25
Embalse,CHUZA,0.17196,2024-03-25
Embalse,EL QUIMBO,0.20048,2024-03-25
Embalse,ESMERALDA,0.18922,2024-03-25
Embalse,GUAVIO,0.08403,2024-03-25
Embalse,ITUANGO,0.13804,2024-03-25
Embalse,MIRAFLORES,0.1743,2024-03-25
Embalse,MUNA,0.35791,2024-03-25
Embalse,PENOL,0.37924,2024-03-25
Embalse,PLAYAS,0.65983,2024-03-25
Embalse,PORCE II,0.37832,2024-03-25
Embalse,PORCE III,0.49771,2024-03-25
Embalse,PRADO,0.24262,2024-03-25
Embalse,PUNCHINA,0.3898,2024-03-25
Embalse,RIOGRANDE2,0.06556,2024-03-25
Embalse,SALVAJINA,0.30019,2024-03-25
Embalse,SAN LORENZO,0.21949,2024-03-25
Embalse,TOPOCORO,0.20833,2024-03-25
Embalse,TRONERAS,0.49745,2024-03-25
Embalse,URRA1,0.50281,2024-03-25
Embalse,AGREGADO BOGOTA,0.54891,2024-03-26
Embalse,ALTOANCHICAYA,0.03462,2024-03-26
Embalse,AMANI,0.3121,2024-03-26
Embalse,BETANIA,0.59714,2024-03-26
Embalse,CALIMA1,0.50626,2024-03-26
Embalse,CHUZA,0.17184,2024-03-26
Embalse,EL QUIMBO,0.19055,2024-03-26
Embalse,ESMERALDA,0.1894,2024-03-26
Embalse,GUAVIO,0.08499,2024-03-26
Embalse,ITUANGO,0.14265,2024-03-26
Embalse,MIRAFLORES,0.17029,2024-03-26
Embalse,MUNA,0.30868,2024-03-26
Embalse,PENOL,0.37346,2024-03-26
Embalse,PLAYAS,0.67105,2024-03-26
Embalse,PORCE II,0.39052,2024-03-26
Embalse,PORCE III,0.39252,2024-03-26
Embalse,PRADO,0.23393,2024-03-26
Embalse,PUNCHINA,0.3561,2024-03-26
Embalse,RIOGRANDE2,0.06713,2024-03-26
Embalse,SALVAJINA,0.29889,2024-03-26
Embalse,SAN LORENZO,0.19652,2024-03-26
Embalse,TOPOCORO,0.21064,2024-03-26
Embalse,TRONERAS,0.47458,2024-03-26
Embalse,URRA1,0.4959,2024-03-26
Embalse,AGREGADO BOGOTA,0.54786,2024-03-27
Embalse,ALTOANCHICAYA,0.05521,2024-03-27
Embalse,AMANI,0.30417,2024-03-27
Embalse,BETANIA,0.61438,2024-03-27
Embalse,CALIMA1,0.50741,2024-03-27
Embalse,CHUZA,0.17121,2024-03-27
Embalse,EL QUIMBO,0.19141,2024-03-27
Embalse,ESMERALDA,0.18957,2024-03-27
Embalse,GUAVIO,0.07327,2024-03-27
Embalse,ITUANGO,0.14442,2024-03-27
Embalse,MIRAFLORES,0.17211,2024-03-27
Embalse,MUNA,0.4601,2024-03-27
Embalse,PENOL,0.36878,2024-03-27
Embalse,PLAYAS,0.66951,2024-03-27
Embalse,PORCE II,0.41495,2024-03-27
Embalse,PORCE III,0.44125,2024-03-27
Embalse,PRADO,0.22193,2024-03-27
Embalse,PUNCHINA,0.35087,2024-03-27
Embalse,RIOGRANDE2,0.06948,2024-03-27
Embalse,SALVAJINA,0.30001,2024-03-27
Embalse,SAN LORENZO,0.17361,2024-03-27
Embalse,TOPOCORO,0.20746,2024-03-27
Embalse,TRONERAS,0.2601,2024-03-27
Embalse,URRA1,0.48761,2024-03-27
Embalse,AGREGADO BOGOTA,0.54713,2024-03-28
Embalse,ALTOANCHICAYA,0.10137,2024-03-28
Embalse,AMANI,0.30377,2024-03-28
Embalse,BETANIA,0.62368,2024-03-28
Embalse,CALIMA1,0.50781,2024-03-28
Embalse,CHUZA,0.16825,2024-03-28
Embalse,EL QUIMBO,0.19228,2024-03-28
Embalse,ESMERALDA,0.18793,2024-03-28
Embalse,GUAVIO,0.06493,2024-03-28
Embalse,ITUANGO,0.14928,2024-03-28
Embalse,MIRAFLORES,0.17087,2024-03-28
Embalse,MUNA,0.56091,2024-03-28
Embalse,PENOL,0.36421,2024-03-28
Embalse,PLAYAS,0.58142,2024-03-28
Embalse,PORCE II,0.45288,2024-03-28
Embalse,PORCE III,0.44207,2024-03-28
Embalse,PRADO,0.21097,2024-03-28
Embalse,PUNCHINA,0.35383,2024-03-28
Embalse,RIOGRANDE2,0.07178,2024-03-28
Embalse,SALVAJINA,0.29945,2024-03-28
Embalse,SAN LORENZO,0.1764,2024-03-28
Embalse,TOPOCORO,0.20653,2024-03-28
Embalse,TRONERAS,0.31875,2024-03-28
Embalse,URRA1,0.47897,2024-03-28
Embalse,AGREGADO BOGOTA,0.5464,2024-03-29
Embalse,ALTOANCHICAYA,0.04429,2024-03-29
Embalse,AMANI,0.30683,2024-03-29
Embalse,BETANIA,0.63302,2024-03-29
Embalse,CALIMA1,0.50859,2024-03-29
Embalse,CHUZA,0.16554,2024-03-29
Embalse,EL QUIMBO,0.19454,2024-03-29
Embalse,ESMERALDA,0.18784,2024-03-29
Embalse,GUAVIO,0.05799,2024-03-29
Embalse,ITUANGO,0.1508,2024-03-29
Embalse,MIRAFLORES,0.17138,2024-03-29
Embalse,MUNA,0.70316,2024-03-29
Embalse,PENOL,0.35927,2024-03-29
Embalse,PLAYAS,0.48034,2024-03-29
Embalse,PORCE II,0.4856,2024-03-29
Embalse,PORCE III,0.44205,2024-03-29
Embalse,PRADO,0.20858,2024-03-29
Embalse,PUNCHINA,0.56717,2024-03-29
Embalse,RIOGRANDE2,0.07373,2024-03-29
Embalse,SALVAJINA,0.2974,2024-03-29
Embalse,SAN LORENZO,0.18321,2024-03-29
Embalse,TOPOCORO,0.19328,2024-03-29
Embalse,TRONERAS,0.37542,2024-03-29
Embalse,URRA1,0.47216,2024-03-29
Embalse,AGREGADO BOGOTA,0.54525,2024-03-30
Embalse,ALTOANCHICAYA,0.0602,2024-03-30
Embalse,AMANI,0.30826,2024-03-30
Embalse,BETANIA,0.62182,2024-03-30
Embalse,CALIMA1,0.50934,2024-03-30
Embalse,CHUZA,0.16262,2024-03-30
Embalse,EL QUIMBO,0.19454,2024-03-30
Embalse,ESMERALDA,0.17694,2024-03-30
Embalse,GUAVIO,0.04967,2024-03-30
Embalse,ITUANGO,0.15427,2024-03-30
Embalse,MIRAFLORES,0.17218,2024-03-30
Embalse,MUNA,0.65912,2024-03-30
Embalse,PENOL,0.35361,2024-03-30
Embalse,PLAYAS,0.63911,2024-03-30
Embalse,PORCE II,0.51638,2024-03-30
Embalse,PORCE III,0.44177,2024-03-30
Embalse,PRADO,0.20811,2024-03-30
Embalse,PUNCHINA,0.46425,2024-03-30
Embalse,RIOGRANDE2,0.07509,2024-03-30
Embalse,SALVAJINA,0.295,2024-03-30
Embalse,SAN LORENZO,0.19027,2024-03-30
