Municipios,año,Aguacate,Bananito,Banano,Borojó,Chontaduro,Citricos,Coco,Granadilla,Guana bana,Guayaba,Lulo,Mango,Maracuyá,Melón a,Melon b,Mora,Papaya,Piña,Pitaya,Tomate Arbol,Vid
Riofrìo,2016.0,290,"13,884",0,0,144,0,0,0,48,42,"1,781",45,0,0,0,155,0,240,40,0,0
Roldanillo,2016.0,290,750,0,0,400,0,0,56,100,"2,316",100,0,"2,660","1,854","1,158",15,"6,690","2,320",108,0,714
San Pedro,2016.0,193,670,0,0,448,0,0,570,102,0,265,105,490,0,0,140,"1,200",0,0,258,0
Sevilla,2016.0,"3,840","36,200",0,0,"41,545",0,0,150,0,0,860,0,0,0,0,120,0,0,0,0,0
Toro,2016.0,108,60,0,0,30,0,0,70,135,"1,584",75,0,700,675,750,0,945,500,0,0,"4,012"
Trujillo,2016.0,630,"5,679",0,0,400,0,0,0,40,52,154,0,0,30,0,675,176,0,130,0,102
Tuluà,2016.0,96,"9,360",0,0,636,0,0,48,49,0,"1,440",50,160,0,0,683,330,0,0,480,36
Ulloa,2016.0,652,"2,076",0,0,"1,266",0,0,0,0,0,0,0,0,0,0,0,0,315,0,0,0
Versalles,2016.0,282,485,0,0,0,0,0,294,0,0,792,0,200,0,0,269,0,0,40,0,0
Vijes,2016.0,204,380,0,0,336,0,0,0,0,0,0,70,0,0,0,0,"1,200","17,280",0,0,0
Yotoco,2016.0,366,0,0,0,"1,128",0,0,0,0,209,88,0,0,0,0,0,0,420,40,0,0
Yumbo,2016.0,324,14,0,0,453,0,0,36,71,53,0,166,18,200,160,9,20,30,12,3,820
Zarzal,2016.0,0,0,0,0,"2,400",0,0,0,95,56,0,0,210,600,875,0,174,0,0,0,0
Municipios,año,Aguacate,Bananito,Banano,Borojó,Chontaduro,Citricos,Coco,Granadilla,Guana bana,Guayaba,Lulo,Mango,Maracuyá,Melón a,Melon b,Mora,Papaya,Piña,Pitaya,Tomate Arbol,Vid
Cali,2015.0,10,0,0,0,140,0,0,0,0,72,0,0,0,0,0,70,0,0,0,33,0
Alcalá,2015.0,315,"1,071",7,0,"2,418",0,0,0,0,60,48,0,0,0,0,0,120,980,0,0,0
Andalucia,2015.0,250,160,0,0,"7,290",0,0,0,0,0,0,0,500,0,0,0,240,0,0,0,0
Ansermanuevo,2015.0,200,540,0,0,60,0,0,288,100,4,36,60,12,0,0,11,0,0,78,0,0
Argelia,2015.0,"3,481","2,875",0,0,20,0,0,0,0,0,24,0,0,0,0,24,0,0,0,0,0
Bolivar,2015.0,210,"1,547",0,0,860,48,0,600,200,"2,200","2,680",0,"1,540","1,974","1,680",130,972,"3,760",125,231,480
Buenaventura,2015.0,0,"1,586","3,700","9,312",0,"12,992","3,804",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Buga,2015.0,80,"1,305",0,0,80,0,0,0,0,14,0,25,0,0,0,30,0,0,0,0,25
Bugalagrande,2015.0,270,0,0,0,"16,604",0,0,63,495,108,0,0,120,0,0,0,0,0,100,0,0
Caicedonia,2015.0,"3,300","5,292",0,0,"48,175",0,0,0,218,0,0,0,0,0,0,0,0,"3,600",0,0,0
Calima Darién,2015.0,360,96,0,0,80,0,0,54,0,50,"1,314",0,0,0,0,192,0,0,9,64,0
Candelaria,2015.0,0,0,0,0,326,0,0,0,0,169,0,0,480,0,0,0,0,0,0,0,0
Cartago,2015.0,182,270,0,0,"2,426",0,0,0,0,40,4,0,0,0,0,0,30,90,0,0,0
Dagua,2015.0,845,"1,428",0,0,"2,280",204,0,41,54,45,195,0,494,0,0,0,0,"72,000",42,0,0
El Aguila,2015.0,69,44,0,0,25,0,0,15,0,0,96,0,0,0,0,54,0,140,0,20,0
El Cairo,2015.0,193,0,0,0,0,0,0,0,0,0,140,0,0,0,0,238,0,0,0,0,0
El Cerrito,2015.0,400,300,0,0,500,0,0,0,0,0,0,0,575,0,0,28,0,0,0,0,"3,920"
El Dovio,2015.0,32,588,0,0,0,0,0,27,0,0,360,0,72,0,0,0,0,0,8,0,0
Florida,2015.0,90,"3,060",0,0,240,0,0,63,80,56,0,64,135,0,0,522,280,225,10,50,0
Ginebra,2015.0,0,960,0,0,348,0,0,27,0,0,44,0,165,0,0,880,240,0,0,0,560
Guacarì,2015.0,432,"1,694",0,0,427,0,0,0,228,0,222,0,567,0,0,255,"7,968",0,0,144,"3,600"
Jamundì,2015.0,48,105,0,0,"9,060",0,0,0,26,160,90,460,290,0,0,86,149,930,0,30,0
La Cumbre,2015.0,0,349,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,"11,200",0,0,0
La Uniòn,2015.0,248,237,0,0,455,0,0,0,17,"2,969",138,0,515,"1,728","1,692",0,"11,528",0,0,0,"9,647"
La Victoria,2015.0,150,"1,350",0,0,799,0,0,0,0,240,0,204,120,0,150,0,210,0,0,0,45
Obando,2015.0,204,"9,218",0,0,466,0,0,0,0,0,0,426,186,0,0,0,220,0,0,0,0
Palmira,2015.0,652,847,0,0,"1,500",0,0,224,0,110,281,0,161,0,0,45,0,0,0,53,144
Pradera,2015.0,20,180,0,0,325,0,0,0,300,30,52,0,0,0,0,60,0,"1,000",0,30,0
Restrepo,2015.0,336,665,192,0,250,0,0,8,0,144,"1,044",10,119,0,0,48,0,"23,100",256,15,0
Riofrìo,2015.0,170,"12,300",0,0,150,0,0,0,60,35,"1,141",45,0,0,0,155,0,150,100,0,0
Roldanillo,2015.0,260,750,0,0,350,0,0,32,100,"2,316",40,0,"2,135",669,669,12,"15,816",630,88,0,714
San Pedro,2015.0,175,455,0,0,448,0,0,495,60,0,98,49,420,0,0,112,"1,050",0,0,98,0
Sevilla,2015.0,"9,600","41,500",0,0,"35,460",0,0,150,0,0,900,0,0,0,0,51,0,0,0,0,0
Toro,2015.0,108,46,0,0,30,0,0,0,432,"1,554",0,0,"1,125",700,750,0,"1,750",0,0,0,"2,950"
Trujillo,2015.0,434,"7,584",0,0,330,0,0,0,30,72,250,0,216,125,0,"1,400",640,0,160,0,45
Tuluà,2015.0,96,"4,698",0,0,636,0,0,40,49,0,300,20,48,0,0,398,"2,000",0,0,160,30
Ulloa,2015.0,"1,223","4,152",23,0,"1,266",0,0,0,0,0,0,0,0,0,0,0,0,198,0,0,0
Versalles,2015.0,79,485,0,0,0,0,0,434,0,0,620,0,200,0,0,219,0,0,24,0,0
Vijes,2015.0,190,400,0,0,400,0,0,0,0,0,0,65,0,0,0,0,"1,320","18,081",0,0,0
