Municipios,año,Aguacate,Bananito,Banano,Borojó,Chontaduro,Citricos,Coco,Granadilla,Guana bana,Guayaba,Lulo,Mango,Maracuyá,Melón a,Melon b,Mora,Papaya,Piña,Pitaya,Tomate Arbol,Vid
Yotoco,2017,8.93,0,0,0,0,30,0,0,0,15,11,0,27,0,0,0,50,70,9,0,0
Yumbo,2017,12,0,7,0,0,10.8,0,12,15,3.41,0,9.18,25,20,20,5,25,60,8,5,12
Zarzal,2017,0,0,0,0,0,30,0,0,10,10,0,0,0,15,25,0,20,70,0,0,0
Cali,2016,0,0,0,7,0,0,0,0,0,8,0,0,0,0,0,7,0,0,0,5.5,0
Alcalá,2016,20,0,0,20,0,0,0,0,0,10,8,0,0,0,0,0,50,75,0,0,0
Andalucia,2016,7,0,0,28,0,0,0,0,0,0,0,0,30,0,0,0,12,0,0,0,0
Ansermanuevo,2016,30,0,0,8.2,0,0,0,7.5,6,5,7,5.5,9,0,0,3,0,0,8,0,0
Argelia,2016,18,0,0,8,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0
Bolivar,2016,17,0,0,20,0,8,0,15,10,10,10,0,14,42,42,5,27,80,5,7,16
Buenaventura,2016,13,10,12,0,0,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Buga,2016,14,0,0,10,8,0,0,10,0,8,6,8,9,0,0,5,20,80,0,8,11
Bugalagrande,2016,0,0,0,28,0,0,0,14,11,12,0,0,12,0,0,0,0,0,10,0,0
Caicedonia,2016,13.97,0,0,25,0,0,0,0,4.2,0,0,0,0,0,0,0,0,52,0,0,0
Calima Darién,2016,12,0,0,10,0,0,0,0,0,10,18,0,0,0,0,8,0,0,0,0,0
Candelaria,2016,0,0,0,12,0,0,0,0,0,13,0,0,40,0,0,0,0,0,0,0,0
Cartago,2016,9,0,0,24.6,0,0,0,0,0,10,0,0,0,0,0,0,0,50,0,0,0
Dagua,2016,10.74,0,0,23.5,0,7,0,0,9,8.5,7.5,0,18,0,0,0,0,60,7,0,0
El Aguila,2016,10,0,0,30,0,0,0,7,0,0,6,0,10,0,0,3,0,52,0,12,0
El Cairo,2016,14,0,0,0,0,0,0,8,0,0,8,0,20.8,0,0,6,0,0,0,7.2,0
El Cerrito,2016,20,0,0,20,0,0,0,0,0,0,0,0,20,0,0,7,0,0,0,20,14
El Dovio,2016,14,0,0,0,0,0,0,10,0,0,20,0,15,0,0,0,0,0,0,0,0
Florida,2016,26,0,0,30,14.5,0,0,8,20,10,0,16,20,0,0,9,30,45,10,12,0
Ginebra,2016,10,0,0,12,0,0,0,9,0,0,9,0,15,0,0,8,50,0,0,0,10
Guacarì,2016,7,0,0,10,0,0,0,0,15,0,7,0,10,0,0,5,50,0,0,8,20
Jamundì,2016,9.5,0,0,20,0,0,0,0,6.5,8,15,20,20,0,0,9,30,60,0,10,0
La Cumbre,2016,5.5,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,80,0,0,0
La Uniòn,2016,7.5,0,0,13.5,0,0,0,0,12,10.7,12,0,15,36,36,0,30,0,0,0,11
La Victoria,2016,10,0,0,0,0,0,0,0,0,16,0,6,24,0,0,0,0,0,0,0,10
Obando,2016,22,0,0,18,0,0,0,0,0,0,0,20,30,0,0,0,70,0,0,0,0
Palmira,2016,11,0,0,20,12,0,0,12,0,11,7,0,24,0,0,5,0,0,0,14,16
Pradera,2016,6,0,0,13,0,0,0,0,10,10,4,0,0,0,0,4,0,50,0,6,0
Restrepo,2016,20,8,0,12,0,0,0,8,0,8,15,0,8,0,0,8,0,60,8,18,0
Riofrìo,2016,26,0,0,18,0,0,0,0,12,7,10.6,5,0,0,0,5,0,60,8,0,0
Roldanillo,2016,25,0,0,25,0,0,0,8,7,12,10,0,35,30,30,3,50,80,12,0,15
San Pedro,2016,10,0,0,14,0,0,0,15,8.5,0,10,15,14,0,0,7,30,0,0,12,0
Sevilla,2016,20,0,0,35,0,0,0,10,0,0,20,0,0,0,0,6,0,0,0,0,0
Toro,2016,15,0,0,15,0,0,0,7,9,12,15,0,35,25,25,0,35,50,0,0,11.8
Trujillo,2016,9,0,0,16,0,0,0,0,10,13,11,0,0,20,0,9,44,0,10,0,12
Tuluà,2016,18,0,0,12,9,0,0,8,7,0,15,10,20,0,0,7,15,0,0,12,6
Ulloa,2016,20,0,0,18.9,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0
Versalles,2016,5,0,0,0,0,0,0,14,0,0,36,0,20,0,0,8,0,0,8,0,0
Vijes,2016,10,0,0,8,0,0,0,0,0,0,0,5,0,0,0,0,30,60,0,0,0
Yotoco,2016,0,0,0,30,0,0,0,0,0,10,17,0,0,0,0,0,0,70,10,0,0
Caicedonia,2010,15,15,,,30,,,8,14,10,,,15,,,,,50,,,
Yumbo,2016,2,0,0,7.29,0,0,0,12,15,3.16,0,6.92,6,20,20,5,25,15,8,5,10
Zarzal,2016,0,0,0,30,0,0,0,0,10,10,0,0,10,15,25,0,20,0,0,0,0
Cali,2015,5,0,0,0,7.8,0,0,0,0,8,0,0,0,0,0,7,0,0,0,5.5,0
Alcalá,2015,7,7,7,0,6.5,0,0,0,0,15,6,0,0,0,0,0,60,70,0,0,0
Andalucia,2015,10,8,0,0,18,0,0,0,0,0,0,0,25,0,0,0,12,0,0,0,0
Ansermanuevo,2015,5,30,0,0,12,0,0,8,10,8,8,5,12,0,0,3.5,0,0,6,0,0
Argelia,2015,13,25,0,0,4,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0
Bolivar,2015,5,17,0,0,20,8,0,15,10,10,10,0,14,42,42,5,27,80,5,7,16
Buenaventura,2015,0,13,10,12,0,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Buga,2015,8,15,0,0,8,0,0,0,0,7,0,5,0,0,0,5,0,0,0,0,12.5
Bugalagrande,2015,10,0,0,0,28,0,0,7,11,12,0,0,12,0,0,0,0,0,10,0,0
Caicedonia,2015,12,14,0,0,25,0,0,0,3.2,0,0,0,0,0,0,0,0,50,0,0,0
Calima Darién,2015,15,12,0,0,10,0,0,9,0,10,18,0,0,0,0,8,0,0,9,8,0
Candelaria,2015,0,0,0,0,12.5,0,0,0,0,13,0,0,40,0,0,0,0,0,0,0,0
Cartago,2015,10,9,0,0,21,0,0,0,0,10,4,0,0,0,0,0,30,60,0,0,0
Dagua,2015,13,12,0,0,24,12,0,9,9,9,6.5,0,19,0,0,0,0,60,7,0,0
El Aguila,2015,4.6,4,0,0,7,0,0,5,0,0,6,0,0,0,0,3,0,40,0,4,0
El Cairo,2015,5.5,0,0,0,0,0,0,0,0,0,14,0,0,0,0,7,0,0,0,0,0
El Cerrito,2015,10,20,0,0,20,0,0,0,0,0,0,0,25,0,0,7,0,0,0,0,14
El Dovio,2015,8,12.5,0,0,0,0,0,9,0,0,18,0,8,0,0,0,0,0,4,0,0
Cartago,2010,,7,,,35.46,,,,,,,,10,,,,,35,,,
Florida,2015,15,20,0,0,20,0,0,7,20,8,0,16,15,0,0,9,28,45,10,10,0
Ginebra,2015,0,8,0,0,12,0,0,9,0,0,4,0,15,0,0,4,30,0,0,0,10
Guacarì,2015,9,7,0,0,7,0,0,0,12,0,6,0,9,0,0,5,48,0,0,8,20
Jamundì,2015,8,9.5,0,0,20,0,0,0,6.5,8,15,20,20,0,0,9,33,60,0,10,0
La Cumbre,2015,0,5.5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,80,0,0,0
La Uniòn,2015,20,9.3,0,0,37,0,0,0,2.1,12,25,0,15,36,36,0,75,0,0,0,11
La Victoria,2015,10,10,0,0,17,0,0,0,0,16,0,6,24,0,50,0,15,0,0,0,9
Obando,2015,9.9,22,0,0,19.4,0,0,0,0,0,0,23,31,0,0,0,110,0,0,0,0
Palmira,2015,10,11,0,0,20,0,0,35,0,11,7,0,24,0,0,5,0,0,0,14,16
Pradera,2015,10,6,0,0,13,0,0,0,10,10,4,0,0,0,0,4,0,50,0,6,0
Restrepo,2015,8,9.5,8,0,10,0,0,8,0,8,12,5,7,0,0,6,0,60,8,15,0
Riofrìo,2015,10,25,0,0,30,0,0,0,20,7,7,5,0,0,0,5,0,50,20,0,0
Roldanillo,2015,10,25,0,0,25,0,0,8,7,12,10,0,35,30,30,3,120,70,11,0,15
San Pedro,2015,9.2,7,0,0,14,0,0,15,8.5,0,4.1,7,14,0,0,7,30,0,0,7,0
Sevilla,2015,30,25,0,0,30,0,0,15,0,0,20,0,0,0,0,3,0,0,0,0,0
Toro,2015,9,11.5,0,0,15,0,0,0,9,12,0,0,45,25,25,0,35,0,0,0,11.8
Trujillo,2015,7,12,0,0,15,0,0,0,10,12,10,0,18,25,0,10,40,0,10,0,5
Tuluà,2015,8,9,0,0,12,0,0,8,7,0,3,4,8,0,0,4,80,0,0,4,5
Ulloa,2015,15,40,23,0,18.9,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0
Versalles,2015,2,5,0,0,0,0,0,14,0,0,20,0,20,0,0,8,0,0,8,0,0
Vijes,2015,10,10,0,0,10,0,0,0,0,0,0,5,0,0,0,0,33,63,0,0,0
Yotoco,2015,15,0,0,0,3,0,0,0,0,18,10,0,0,0,0,0,0,70,5,0,0
Yumbo,2015,14.65,2,0,0,7.2,0,0,9,15,3.13,3.9,6.3,6,10,10,5,25,15,8,5,10
Zarzal,2015,0,0,0,0,40,8,0,0,18,5.6,0,0,10,14,14,0,22,0,0,0,0
Cali,2014,6,,,,10,,,,,8,,,,,,5,,,,5.5,
Alcalá,2014,6,7,7,,8,,,,,20,8,,,,,,70,90,,,
Andalucia,2014,10,12,0,0,30,0,0,0,0,0,0,0,35,0,0,0,16.8,,,,
Ansermanuevo,2014,5,30,,,12,,,8,10,8,8,5,12,,,3.5,,,6,,
Argelia,2014,13.5,30,,,4,,,,,,2.8,,,,,4,,,,,
Bolivar,2014,5,17,,,20,8,,15,9,10,10,,14,42,42,5,27,80,4.5,7,15.8
Buenaventura,2014,,13,10,12,0,14,12,0,0,11.3,0,0,0,0,0,0,0,0,,,
Buga,2014,8,15,,,8,,,10,,7,4,5,10,,,5,15,80,,6,2.5
Bugalagrande,2014,10,,,,28,,,7,11,12,,,14,,,,,,12,,
Caicedonia,2014,12,13.8,,,25,,,,10,,,,,,,,,50,,,
Calima Darién,2014,15,8,,,10,,,9,,10,16,,,,,5,,,9,8,
Candelaria,2014,,,,,12,,,,,10,,,25,,,,,,,,
Cartago,2014,13,9,,,21,,,,,10,4,,,,,,,60,,,
Dagua,2014,13,12,,,15,12,,9,9,9,6.5,,19,,,,,60,7,,
El Aguila,2014,8,7,,,10,,,5,,,8,,,,,7,,60,,12,
El Cairo,2014,5,,,,,,,,,,14,,,,,7,,,,,
El Cerrito,2014,10,10,,,20,,,,,,,,25,,,7,,,,,15
El Dovio,2014,8,15,,,,,,9,,,24,,6,,,,,,4,,
Florida,2014,18,26,,,30,,,8,24,10,,16,20,,,9,30,45,10,12,
Ginebra,2014,0,10,0,0,15,0,0,9.7,0,0,4.5,0,20,0,0,2,30,0,0,0,10
Guacarì,2014,10,7,,,10,,,,15,,7,,10,,,5,50,,,8,20
Jamundì,2014,0.8,9.5,,,20,,,,6.5,7,18,20,22,,,9,33,60,,10,
La Cumbre,2014,,5.5,,,,,,,,,6,,,,,,,75,,,
La Uniòn,2014,20,9.5,,,50,,,,2.1,12,25,,15,36,36,,75,,,,11
La Victoria,2014,10,10,,,19,,,,,18,,6,26,,,,16,,,,9
Obando,2014,10,22,,,19.4,,,,,,,20,31,,,,114,,,,
Palmira,2014,10,11,,,20,,,12,,11,7,,24,,,5,,,,14,16
Pradera,2014,10,6,,,13,,,,10,10,4,,,,,4,,50,,6,
Restrepo,2014,8.5,9.4,8,,25,,,8,,8,15,,8,,,8,,60,8,18,
Riofrìo,2014,10.5,26.6,,,35,,,,22,7,7.6,5,6,,,6,,50,25,,6
Roldanillo,2014,10,25,,,25,,,8,7,12,10,,35,35,35,3,120,70,11,,15
San Pedro,2014,9.2,7,,,14,,,15,8.5,,4,7,14,,,7,30,,,7,
Sevilla,2014,30,25,0,0,30,0,0,15,0,0,20,0,0,0,0,4,0,0,0,0,0
Toro,2014,9,11.5,,,18,,,,9.5,12,,,45,25,25,,35,,,,11.8
Trujillo,2014,7.5,15,,,16,,,,11,14,12,,20,20,20,10.5,40,,12,,5.5
